KeyWord,Datetime,Count
Amsterdam,2013-09-24,7
Amsterdam,2013-09-25,4
Amsterdam,2013-09-26,10
Amsterdam,2013-09-27,2
Amsterdam,2013-09-28,11
Amsterdam,2013-09-29,3
Amsterdam,2013-09-30,3
Amsterdam,2013-10-01,3
Amsterdam,2013-10-02,18
Amsterdam,2013-10-04,3
Amsterdam,2013-10-05,2
Amsterdam,2013-10-06,6
Amsterdam,2013-10-07,9
Amsterdam,2013-10-08,12
Amsterdam,2013-10-09,13
Amsterdam,2013-10-10,8
Amsterdam,2013-10-11,4
Amsterdam,2013-10-12,6
Amsterdam,2013-10-13,6
Amsterdam,2013-10-14,8
Amsterdam,2013-10-18,8
Amsterdam,2013-10-19,5
Amsterdam,2013-10-20,8
Amsterdam,2013-10-21,12
Amsterdam,2013-10-22,3
Amsterdam,2013-10-23,65
Amsterdam,2013-10-24,3
Amsterdam,2013-10-25,3
Amsterdam,2013-10-26,5
Amsterdam,2013-10-27,6
Amsterdam,2013-10-28,11
Amsterdam,2013-10-29,5
Amsterdam,2013-10-30,8
Amsterdam,2013-10-31,8
Amsterdam,2013-11-01,10
Amsterdam,2013-11-02,10
Amsterdam,2013-11-03,5
Amsterdam,2013-11-04,12
Amsterdam,2013-11-06,7
Amsterdam,2013-11-07,32
Amsterdam,2013-11-08,14
Amsterdam,2013-11-09,165
Amsterdam,2013-11-10,338
Amsterdam,2013-11-11,238
Amsterdam,2013-11-12,118
Amsterdam,2013-11-13,34
Amsterdam,2013-11-14,5
Amsterdam,2013-11-15,15
Amsterdam,2013-11-16,12
Amsterdam,2013-11-17,14
Amsterdam,2013-11-18,7
Amsterdam,2013-11-19,10
