KeyWord,Datetime,Count
Beijing,2013-09-24,2
Beijing,2013-09-25,5
Beijing,2013-09-26,4
Beijing,2013-09-27,22
Beijing,2013-09-28,18
Beijing,2013-09-29,61
Beijing,2013-09-30,36
Beijing,2013-10-01,2
Beijing,2013-10-02,50
Beijing,2013-10-03,1
Beijing,2013-10-04,2
Beijing,2013-10-05,2
Beijing,2013-10-06,4
Beijing,2013-10-07,6
Beijing,2013-10-08,3
Beijing,2013-10-09,8
Beijing,2013-10-10,43
Beijing,2013-10-11,66
Beijing,2013-10-12,16
Beijing,2013-10-13,9
Beijing,2013-10-14,54
Beijing,2013-10-18,66
Beijing,2013-10-19,96
Beijing,2013-10-20,924
Beijing,2013-10-21,65
Beijing,2013-10-22,62
Beijing,2013-10-23,15
Beijing,2013-10-24,1
Beijing,2013-10-25,16
Beijing,2013-10-26,4
Beijing,2013-10-27,5
Beijing,2013-10-28,11
Beijing,2013-10-29,39
Beijing,2013-10-30,33
Beijing,2013-10-31,3
Beijing,2013-11-01,36
Beijing,2013-11-02,6
Beijing,2013-11-03,19
Beijing,2013-11-04,4
Beijing,2013-11-05,1
Beijing,2013-11-06,5
Beijing,2013-11-07,8
Beijing,2013-11-08,14
Beijing,2013-11-09,3
Beijing,2013-11-10,78
Beijing,2013-11-11,12
Beijing,2013-11-12,3
Beijing,2013-11-13,31
Beijing,2013-11-14,6
Beijing,2013-11-15,1
Beijing,2013-11-16,1
Beijing,2013-11-17,126
Beijing,2013-11-18,7
Beijing,2013-11-19,11
Beijing,2013-11-20,18
Beijing,2013-11-22,2
Beijing,2013-11-23,4
Beijing,2013-11-24,208
Beijing,2013-11-25,37
Beijing,2013-11-26,53
Beijing,2013-11-27,10
Beijing,2013-11-28,320
Beijing,2013-11-29,45
Beijing,2013-11-30,23
Beijing,2013-12-01,14
Beijing,2013-12-02,1
