KeyWord,Datetime,Count
Durban,2013-09-24,5
Durban,2013-09-25,33
Durban,2013-09-26,67
Durban,2013-09-27,70
Durban,2013-09-28,61
Durban,2013-09-29,33
Durban,2013-09-30,53
Durban,2013-10-01,11
Durban,2013-10-02,60
Durban,2013-10-03,28
Durban,2013-10-04,25
Durban,2013-10-05,32
Durban,2013-10-06,32
Durban,2013-10-07,37
Durban,2013-10-08,46
Durban,2013-10-09,62
Durban,2013-10-10,49
Durban,2013-10-11,62
Durban,2013-10-12,49
Durban,2013-10-13,20
Durban,2013-10-14,46
Durban,2013-10-18,21
Durban,2013-10-19,32
Durban,2013-10-20,18
Durban,2013-10-21,26
Durban,2013-10-22,21
Durban,2013-10-23,43
Durban,2013-10-24,3
Durban,2013-10-25,35
Durban,2013-10-26,27
Durban,2013-10-27,25
Durban,2013-10-28,43
Durban,2013-10-29,37
Durban,2013-10-30,71
Durban,2013-10-31,45
Durban,2013-11-01,40
Durban,2013-11-02,36
Durban,2013-11-03,53
Durban,2013-11-04,39
Durban,2013-11-05,10
Durban,2013-11-06,50
Durban,2013-11-07,35
Durban,2013-11-08,30
Durban,2013-11-09,22
Durban,2013-11-10,26
Durban,2013-11-11,20
Durban,2013-11-12,43
Durban,2013-11-13,43
Durban,2013-11-14,43
Durban,2013-11-15,9
Durban,2013-11-16,31
Durban,2013-11-17,27
Durban,2013-11-18,87
Durban,2013-11-19,77
Durban,2013-11-20,140
Durban,2013-11-22,3
Durban,2013-11-23,28
Durban,2013-11-24,14
Durban,2013-11-25,16
Durban,2013-11-26,47
Durban,2013-11-27,21
Durban,2013-11-28,25
Durban,2013-11-29,49
Durban,2013-11-30,149
Durban,2013-12-01,12
Durban,2013-12-02,27
Durban,2013-12-03,75
Durban,2013-12-04,53
Durban,2013-12-05,56
Durban,2013-12-06,51
Durban,2013-12-07,43
Durban,2013-12-08,25
Durban,2013-12-09,28
Durban,2013-12-10,86
Durban,2013-12-11,44
Durban,2013-12-12,556
Durban,2013-12-13,102
Durban,2013-12-14,70
Durban,2013-12-15,24
Durban,2013-12-16,26
Durban,2013-12-17,33
Durban,2013-12-18,37
Durban,2013-12-19,42
Durban,2013-12-22,1
Durban,2013-12-23,39
Durban,2013-12-24,38
Durban,2013-12-25,51
Durban,2013-12-26,53
Durban,2013-12-27,54
Durban,2014-01-03,21
Durban,2014-01-04,26
Durban,2014-01-05,9
Durban,2014-01-06,23
Durban,2014-01-07,31
Durban,2014-01-08,22
