KeyWord,Datetime,Count
Helsinki,2013-09-24,2
Helsinki,2013-09-27,2
Helsinki,2013-09-28,1
Helsinki,2013-09-30,1
Helsinki,2013-10-02,1
Helsinki,2013-10-05,1
Helsinki,2013-10-06,1
Helsinki,2013-10-07,2
Helsinki,2013-10-09,1
Helsinki,2013-10-12,1
Helsinki,2013-10-13,1
Helsinki,2013-10-14,1
Helsinki,2013-10-18,1
Helsinki,2013-10-20,2
Helsinki,2013-10-21,2
Helsinki,2013-10-22,10
Helsinki,2013-10-23,1
Helsinki,2013-10-25,2
Helsinki,2013-10-29,2
Helsinki,2013-10-30,3
Helsinki,2013-10-31,4
Helsinki,2013-11-01,3
Helsinki,2013-11-02,1
Helsinki,2013-11-06,2
Helsinki,2013-11-11,2
Helsinki,2013-11-12,1
Helsinki,2013-11-13,1
Helsinki,2013-11-14,4
Helsinki,2013-11-15,35
Helsinki,2013-11-16,13
Helsinki,2013-11-19,1
