KeyWord,Datetime,Count
Melbourne,2013-09-24,1274
Melbourne,2013-09-25,624
Melbourne,2013-09-26,433
Melbourne,2013-09-27,79
Melbourne,2013-09-28,193
Melbourne,2013-09-29,174
Melbourne,2013-09-30,5144
Melbourne,2013-10-01,534
Melbourne,2013-10-02,4978
Melbourne,2013-10-03,2776
Melbourne,2013-10-04,5831
Melbourne,2013-10-05,2116
Melbourne,2013-10-06,471
Melbourne,2013-10-07,426
Melbourne,2013-10-08,703
Melbourne,2013-10-09,244
Melbourne,2013-10-10,284
Melbourne,2013-10-11,348
Melbourne,2013-10-12,560
Melbourne,2013-10-13,1536
Melbourne,2013-10-14,5121
Melbourne,2013-10-15,35
Melbourne,2013-10-18,4129
Melbourne,2013-10-19,1559
Melbourne,2013-10-20,508
Melbourne,2013-10-21,408
Melbourne,2013-10-22,423
Melbourne,2013-10-23,436
Melbourne,2013-10-24,40
Melbourne,2013-10-25,242
Melbourne,2013-10-26,383
Melbourne,2013-10-27,5078
Melbourne,2013-10-28,7537
Melbourne,2013-10-29,3361
Melbourne,2013-10-30,8321
Melbourne,2013-10-31,3671
Melbourne,2013-11-01,2413
Melbourne,2013-11-02,1760
Melbourne,2013-11-03,609
Melbourne,2013-11-04,586
Melbourne,2013-11-05,133
Melbourne,2013-11-06,350
Melbourne,2013-11-07,274
Melbourne,2013-11-08,374
Melbourne,2013-11-09,469
Melbourne,2013-11-10,192
Melbourne,2013-11-11,173
Melbourne,2013-11-12,216
Melbourne,2013-11-13,215
Melbourne,2013-11-14,526
Melbourne,2013-11-15,69
Melbourne,2013-11-16,303
Melbourne,2013-11-17,486
Melbourne,2013-11-18,280
Melbourne,2013-11-19,276
Melbourne,2013-11-20,408
Melbourne,2013-11-22,44
Melbourne,2013-11-23,176
Melbourne,2013-11-24,142
Melbourne,2013-11-25,170
Melbourne,2013-11-26,158
Melbourne,2013-11-27,85
Melbourne,2013-11-28,118
Melbourne,2013-11-29,186
Melbourne,2013-11-30,244
Melbourne,2013-12-01,160
Melbourne,2013-12-02,814
Melbourne,2013-12-03,695
Melbourne,2013-12-04,972
Melbourne,2013-12-05,320
Melbourne,2013-12-06,236
Melbourne,2013-12-07,235
Melbourne,2013-12-08,230
Melbourne,2013-12-09,216
Melbourne,2013-12-10,154
Melbourne,2013-12-11,268
Melbourne,2013-12-12,330
Melbourne,2013-12-13,441
Melbourne,2013-12-14,363
Melbourne,2013-12-15,539
Melbourne,2013-12-16,151
Melbourne,2013-12-17,183
Melbourne,2013-12-18,304
Melbourne,2013-12-19,165
Melbourne,2013-12-20,9
Melbourne,2013-12-22,12
Melbourne,2013-12-23,205
Melbourne,2013-12-24,214
Melbourne,2013-12-25,123
Melbourne,2013-12-26,257
Melbourne,2013-12-27,143
Melbourne,2014-01-03,78
Melbourne,2014-01-04,661
Melbourne,2014-01-05,297
Melbourne,2014-01-06,184
Melbourne,2014-01-07,265
Melbourne,2014-01-08,259
