KeyWord,Datetime,Count
Nottingham,2013-09-24,31
Nottingham,2013-09-25,68
Nottingham,2013-09-26,162
Nottingham,2013-09-27,68
Nottingham,2013-09-28,275
Nottingham,2013-09-29,179
Nottingham,2013-09-30,128
Nottingham,2013-10-01,79
Nottingham,2013-10-02,119
Nottingham,2013-10-03,56
Nottingham,2013-10-04,203
Nottingham,2013-10-05,169
Nottingham,2013-10-06,83
Nottingham,2013-10-07,68
Nottingham,2013-10-08,88
Nottingham,2013-10-09,51
Nottingham,2013-10-10,68
Nottingham,2013-10-11,102
Nottingham,2013-10-12,120
Nottingham,2013-10-13,94
Nottingham,2013-10-14,92
Nottingham,2013-10-18,68
Nottingham,2013-10-19,95
Nottingham,2013-10-20,85
Nottingham,2013-10-21,61
Nottingham,2013-10-22,81
Nottingham,2013-10-23,82
Nottingham,2013-10-24,17
Nottingham,2013-10-25,136
Nottingham,2013-10-26,102
Nottingham,2013-10-27,55
Nottingham,2013-10-28,114
Nottingham,2013-10-29,60
Nottingham,2013-10-30,70
Nottingham,2013-10-31,79
Nottingham,2013-11-01,143
Nottingham,2013-11-02,76
Nottingham,2013-11-03,49
Nottingham,2013-11-04,104
Nottingham,2013-11-05,15
Nottingham,2013-11-06,45
Nottingham,2013-11-07,106
Nottingham,2013-11-08,224
Nottingham,2013-11-09,185
Nottingham,2013-11-10,156
Nottingham,2013-11-11,89
Nottingham,2013-11-12,74
Nottingham,2013-11-13,102
Nottingham,2013-11-14,87
Nottingham,2013-11-15,56
Nottingham,2013-11-16,73
Nottingham,2013-11-17,40
Nottingham,2013-11-18,289
Nottingham,2013-11-19,169
Nottingham,2013-11-20,318
Nottingham,2013-11-22,37
Nottingham,2013-11-23,67
Nottingham,2013-11-24,52
Nottingham,2013-11-25,76
Nottingham,2013-11-26,61
Nottingham,2013-11-27,62
Nottingham,2013-11-28,52
Nottingham,2013-11-29,109
Nottingham,2013-11-30,122
Nottingham,2013-12-01,72
Nottingham,2013-12-02,49
Nottingham,2013-12-03,109
Nottingham,2013-12-04,237
Nottingham,2013-12-05,195
Nottingham,2013-12-06,182
Nottingham,2013-12-07,208
Nottingham,2013-12-08,93
Nottingham,2013-12-09,110
Nottingham,2013-12-10,68
Nottingham,2013-12-11,75
Nottingham,2013-12-12,58
Nottingham,2013-12-13,83
Nottingham,2013-12-14,94
Nottingham,2013-12-15,52
Nottingham,2013-12-16,53
Nottingham,2013-12-17,87
Nottingham,2013-12-18,35
Nottingham,2013-12-19,78
Nottingham,2013-12-20,2
Nottingham,2013-12-22,3
Nottingham,2013-12-23,125
Nottingham,2013-12-24,166
Nottingham,2013-12-25,82
Nottingham,2013-12-26,80
Nottingham,2013-12-27,238
Nottingham,2014-01-03,57
Nottingham,2014-01-04,213
Nottingham,2014-01-05,495
Nottingham,2014-01-06,270
Nottingham,2014-01-07,120
Nottingham,2014-01-08,48
