KeyWord,Datetime,Count
Washington,2013-09-25,4
Washington,2013-09-26,5
Washington,2013-09-27,4
Washington,2013-09-28,8
Washington,2013-09-29,9
Washington,2013-09-30,5
Washington,2013-10-01,3
Washington,2013-10-02,7
Washington,2013-10-03,1
Washington,2013-10-04,18
Washington,2013-10-05,10
Washington,2013-10-06,13
Washington,2013-10-07,2
Washington,2013-10-08,13
Washington,2013-10-09,20
Washington,2013-10-10,11
Washington,2013-10-11,8
Washington,2013-10-12,14
Washington,2013-10-13,3
Washington,2013-10-14,4
Washington,2013-10-15,1
Washington,2013-10-18,4
Washington,2013-10-19,10
Washington,2013-10-20,16
Washington,2013-10-21,9
Washington,2013-10-22,9
Washington,2013-10-23,18
Washington,2013-10-24,13
Washington,2013-10-25,3
Washington,2013-10-26,9
Washington,2013-10-27,7
Washington,2013-10-28,13
Washington,2013-10-29,3
Washington,2013-10-30,5
Washington,2013-10-31,5
Washington,2013-11-01,3
Washington,2013-11-02,6
Washington,2013-11-03,5
Washington,2013-11-04,4
Washington,2013-11-05,5
Washington,2013-11-06,14
Washington,2013-11-07,16
Washington,2013-11-08,6
Washington,2013-11-09,17
Washington,2013-11-10,19
Washington,2013-11-11,5
Washington,2013-11-12,24
Washington,2013-11-13,11
Washington,2013-11-14,5
Washington,2013-11-15,15
Washington,2013-11-16,12
Washington,2013-11-17,4
Washington,2013-11-18,35
Washington,2013-11-19,4
