KeyWord,Datetime,Count
landing,2013-09-24,5
landing,2013-09-25,4
landing,2013-09-26,8
landing,2013-09-27,3
landing,2013-09-28,6
landing,2013-09-29,8
landing,2013-09-30,4
landing,2013-10-01,5
landing,2013-10-02,10
landing,2013-10-03,1
landing,2013-10-04,54
landing,2013-10-05,15
landing,2013-10-06,29
landing,2013-10-07,8
landing,2013-10-08,15
landing,2013-10-09,7
landing,2013-10-10,8
landing,2013-10-11,9
landing,2013-10-12,16
landing,2013-10-13,5
landing,2013-10-14,14
landing,2013-10-15,1
landing,2013-10-18,8
landing,2013-10-19,9
landing,2013-10-20,224
landing,2013-10-21,124
landing,2013-10-22,21
landing,2013-10-23,6
landing,2013-10-24,1
landing,2013-10-25,9
landing,2013-10-26,6
landing,2013-10-27,16
landing,2013-10-28,9
landing,2013-10-29,9
landing,2013-10-30,11
landing,2013-10-31,8
landing,2013-11-01,11
landing,2013-11-02,14
landing,2013-11-03,13
landing,2013-11-04,12
landing,2013-11-05,2
landing,2013-11-06,11
landing,2013-11-07,65
landing,2013-11-08,9
landing,2013-11-09,4
landing,2013-11-10,6
landing,2013-11-11,3
landing,2013-11-12,4
landing,2013-11-13,9
landing,2013-11-14,13
landing,2013-11-15,5
landing,2013-11-16,14
landing,2013-11-17,6
landing,2013-11-18,8
