KeyWord,Datetime,Count
underground,2013-09-24,3
underground,2013-09-25,4
underground,2013-09-26,3
underground,2013-09-27,2
underground,2013-09-28,7
underground,2013-09-29,3
underground,2013-09-30,5
underground,2013-10-01,4
underground,2013-10-02,3
underground,2013-10-03,3
underground,2013-10-04,3
underground,2013-10-05,4
underground,2013-10-07,13
underground,2013-10-08,29
underground,2013-10-09,14
underground,2013-10-10,11
underground,2013-10-11,116
underground,2013-10-12,45
underground,2013-10-13,42
underground,2013-10-14,11
underground,2013-10-18,1
underground,2013-10-19,3
underground,2013-10-20,5
underground,2013-10-21,4
underground,2013-10-22,3
underground,2013-10-23,4
underground,2013-10-24,2
underground,2013-10-25,5
underground,2013-10-26,38
underground,2013-10-27,2
underground,2013-10-28,11
underground,2013-10-29,2
underground,2013-10-30,3
underground,2013-10-31,7
underground,2013-11-01,2
underground,2013-11-02,7
underground,2013-11-03,2
underground,2013-11-04,10
underground,2013-11-06,4
underground,2013-11-07,1
underground,2013-11-08,133
underground,2013-11-09,18
underground,2013-11-10,11
underground,2013-11-11,32
underground,2013-11-12,20
underground,2013-11-13,61
underground,2013-11-14,14
underground,2013-11-15,5
underground,2013-11-16,21
underground,2013-11-17,11
underground,2013-11-18,5
underground,2013-11-19,11
