,R^2_twitter,RMSE_Twitter,RMSE_L4F
Overall-dynamic-0.1,0.0044118295768516,828317.830076865,787242.0929624371
Overall-dynamic-100,0.00441183383373378,828317.8283060268,787242.0929624371
Overall-dynamic-1000,0.0044118718737502505,828317.8124816,787242.0929624371
Overall-dynamic-100000,0.004416276207202641,828315.980302317,787242.0929624371
Overall-dynamic-2,0.004411829657126387,828317.8300434713,787242.0929624371
Overall-dynamic-32000,0.004413183128021969,828317.2670072231,787242.0929624371
Overall-dynamic-50,0.00441183171541859,828317.8291872336,787242.0929624371
Overall-static-0.1,-0.03567948037120172,840837.5867648562,774857.2248615612
Overall-static-100,-0.03567947886227163,840837.5861523284,774857.2248615612
Overall-static-1000,-0.03567947432751728,840837.5843115118,774857.2248615612
Overall-static-100000,-0.03567641268694621,840836.3414828045,774857.2248615612
Overall-static-2,-0.035679480439771094,840837.5867926909,774857.2248615612
Overall-static-32000,-0.03567878480059239,840837.30440819,774857.2248615612
Overall-static-50,-0.03567948060648063,840837.5868603643,774857.2248615612
