,F1,Twitter,F3,F4,F2
Aarhus,0.39185881810378853,-0.055042946420159354,0.17987910419476913,0.09997396187225713,0.05950451165681658
Aberdeen,0.49782578797239607,-0.044051008183728896,0.010957876789200963,0.18922566214855316,-0.0495235492973429
Accra,0.03685820810572061,-0.0891281343997497,0.10969951833100365,0.13480879518715647,0.08809461893342616
Adana,0.4844565963726644,-0.06366298694658457,0.042127438143697654,0.04341453193066012,0.22440867589016558
Adelaide,0.3188768233370093,0.00046691422143006517,-0.12169288432362266,-0.07258733121660461,0.06753013107008404
Afghanistan,-0.07462244038544714,0.0021961451011605496,0.16885528000108016,0.19653925181936965,-0.10516120612455632
Agadir,0.31294593006334154,-0.02793914328227433,0.004835327780735803,-0.013480343555949998,-0.10395712738179438
Ahmedabad,0.09172879559042829,0.49976510069917474,-0.14143937075316138,-0.0728765811820011,-0.07060478980550915
Albania,0.27370775075055687,-0.12591876260944634,0.011105561031556663,0.06610733050515272,0.10016019392686074
Albuquerque,0.17762077227849649,0.0004139638651608399,0.11444917403542891,0.11902973940570216,0.022654692535930065
Alexandria,0.11477139788857132,0.006887501811303261,0.06592317480621664,-0.07245593193034389,-0.035417159864124415
Algeria,0.32132635538430915,-0.03317951561148783,0.18508071413445149,-0.008480427746487829,0.21259079172067735
Algiers,0.35889817529848567,0.20442395455788134,0.20735119620286926,0.0537860805132849,0.12225758465237802
Alicante,0.948379822334954,4.675117880860938,0.13983073053721248,-0.18228032243530579,-0.20331657218918409
Almaty,0.10205757243732272,-0.04706751411814868,0.27565169348310964,-0.017633712607749496,-0.05264740509482672
Almeria,0.5039619802483313,0.011226777219515184,0.19276125288944043,-0.2708895653170269,0.16806790286721013
Amman,0.06799892986377723,0.07873633333412419,0.13145821134017516,0.051828154342634464,0.03222649696594177
Amritsar,-0.027396335794339595,-0.16965402008463848,-0.013501576450153666,0.06076556576510874,0.0028967458705496537
Amsterdam,0.6803131483167248,-0.00172303417402233,0.379396444254608,0.08241453854338127,-0.45954950782597803
Anchorage,0.24137401636778033,-0.013541822170882435,-0.006019397209811393,0.09251765211967576,0.09302759527477689
Angeles,0.29866452562209606,-0.003261632064999741,-0.2100209588386632,-0.0123414563863945,0.2788877350012772
Angola,0.19837461820939897,0.04600524302898545,-0.0,-0.018567055466214823,0.11599029426678195
Ankara,0.2776548958984402,-0.08330932830317252,0.12661942176833482,-0.2102865737060421,0.5629580456976325
Antalya,0.6438197876923776,2.6619385834295475,0.17026280791478524,-0.14752074410925448,0.0504365360794299
