Date,Count
2013-09-24,1
2013-09-25,36
2013-09-26,22
2013-09-27,1
2013-09-28,8
2013-09-29,23
2013-09-30,12
2013-10-01,5
2013-10-02,6
2013-10-03,4
2013-10-04,22
2013-10-05,36
2013-10-06,6
2013-10-07,6
2013-10-08,10
2013-10-09,14
2013-10-10,126
2013-10-11,29
2013-10-12,41
2013-10-13,9
2013-10-14,39
2013-10-18,4
2013-10-19,15
2013-10-20,4
2013-10-21,9
2013-10-22,4
2013-10-23,9
2013-10-24,4
2013-10-25,9
2013-10-26,50
2013-10-27,29
2013-10-28,7
2013-10-29,97
2013-10-30,12
2013-10-31,51
2013-11-01,13
2013-11-02,15
2013-11-03,3
2013-11-04,8
2013-11-05,2
2013-11-06,5
2013-11-07,10
2013-11-08,9
2013-11-09,2
2013-11-10,5
2013-11-11,17
2013-11-12,75
2013-11-13,19
2013-11-14,27
2013-11-15,9
2013-11-16,9
2013-11-17,6
2013-11-18,24
2013-11-19,47
2013-11-20,18
2013-11-23,5
2013-11-24,7
2013-11-25,8
2013-11-26,26
2013-11-27,10
2013-11-28,8
2013-11-29,37
2013-11-30,10
2013-12-02,5
2013-12-03,3
2013-12-04,239
2013-12-05,52
2013-12-06,43
2013-12-07,16
2013-12-08,4
2013-12-09,32
2013-12-10,10
2013-12-11,2
2013-12-12,13
2013-12-13,19
2013-12-14,7
2013-12-15,85
2013-12-16,8
2013-12-17,6
2013-12-18,19
2013-12-19,10
2013-12-23,11
2013-12-24,11
2013-12-25,36
2013-12-26,70
2013-12-27,3
2014-01-03,21
2014-01-04,16
2014-01-05,18
2014-01-06,17
2014-01-07,12
2014-01-08,15
2014-01-09,24
2014-01-10,16
2014-01-11,30
2014-01-12,70
2014-01-13,52
2014-01-14,450
2014-01-15,246
2014-01-16,26
2014-01-20,20
2014-01-21,28
2014-01-22,110
2014-01-23,108
2014-01-24,14
2014-01-25,14
2014-01-27,10
2014-01-28,36
2014-01-29,12
2014-01-30,14
2014-01-31,16
2014-02-01,12
2014-02-02,10
2014-02-03,284
2014-02-04,132
2014-02-05,153
2014-02-06,90
2014-02-07,114
2014-02-08,30
2014-02-10,54
2014-02-11,57
2014-02-12,74
2014-02-13,7
2014-02-14,7
2014-02-15,3
2014-02-16,11
2014-02-17,8
2014-02-19,8
2014-02-20,48
2014-02-21,65
2014-02-22,26
2014-02-23,6
2014-02-24,3
