Date,Count
2013-09-25,1
2013-09-26,8
2013-09-27,5
2013-09-28,1
2013-09-29,1
2013-09-30,2
2013-10-02,1
2013-10-04,2
2013-10-05,4
2013-10-06,1
2013-10-07,1
2013-10-09,2
2013-10-10,2
2013-10-11,3
2013-10-12,1
2013-10-13,2
2013-10-19,1
2013-10-21,1
2013-10-22,4
2013-10-23,1
2013-10-24,2
2013-10-30,3
2013-10-31,7
2013-11-01,8
2013-11-02,1
2013-11-03,2
2013-11-04,4
2013-11-06,1
2013-11-07,1
2013-11-09,2
2013-11-10,1
2013-11-11,2
2013-11-12,3
2013-11-13,1
2013-11-14,5
2013-11-16,9
2013-11-17,3
2013-11-18,5
2013-11-19,4
2013-11-22,2
2013-11-24,6
2013-11-29,6
2013-11-30,1
2013-12-04,2
2013-12-05,1
2013-12-06,2
2013-12-07,3
2013-12-08,1
2013-12-09,1
2013-12-10,4
2013-12-11,2
2013-12-12,19
2013-12-13,2
2013-12-14,2
2013-12-15,11
2013-12-16,5
2013-12-17,2
2013-12-19,2
2013-12-23,1
2013-12-24,1
2013-12-25,2
2013-12-26,1
2014-01-05,2
2014-01-06,1
2014-01-07,5
2014-01-08,8
2014-01-09,2
2014-01-10,2
2014-01-11,6
2014-01-14,4
2014-01-15,2
2014-01-16,12
2014-01-22,2
2014-01-23,12
2014-01-24,6
2014-01-27,4
2014-01-28,8
2014-01-30,2
2014-02-01,8
2014-02-02,4
2014-02-04,3
2014-02-07,36
2014-02-08,30
2014-02-10,15
2014-02-11,6
2014-02-12,12
2014-02-13,21
2014-02-14,9
2014-02-15,3
2014-02-20,42
2014-02-21,33
2014-02-22,12
2014-02-23,18
2014-02-24,3
2014-03-04,6
