Date,Count
2013-09-24,11
2013-09-25,19
2013-09-26,14
2013-09-27,16
2013-09-28,15
2013-09-29,6
2013-09-30,21
2013-10-01,14
2013-10-02,22
2013-10-03,16
2013-10-04,26
2013-10-05,19
2013-10-06,11
2013-10-07,26
2013-10-08,23
2013-10-09,20
2013-10-10,21
2013-10-11,21
2013-10-12,8
2013-10-13,6
2013-10-14,23
2013-10-18,20
2013-10-19,10
2013-10-20,11
2013-10-21,24
2013-10-22,21
2013-10-23,24
2013-10-24,19
2013-10-25,24
2013-10-26,6
2013-10-27,7
2013-10-28,19
2013-10-29,30
2013-10-30,18
2013-10-31,16
2013-11-01,15
2013-11-02,3
2013-11-03,11
2013-11-04,25
2013-11-05,9
2013-11-06,25
2013-11-07,28
2013-11-08,24
2013-11-09,12
2013-11-10,4
2013-11-11,24
2013-11-12,32
2013-11-13,22
2013-11-14,18
2013-11-15,13
2013-11-16,11
2013-11-17,5
2013-11-18,13
2013-11-19,32
2013-11-20,34
2013-11-22,6
2013-11-23,9
2013-11-24,24
2013-11-25,26
2013-11-26,19
2013-11-27,11
2013-11-28,5
2013-11-29,6
2013-11-30,11
2013-12-01,5
2013-12-02,5
2013-12-03,6
2013-12-04,10
2013-12-05,12
2013-12-06,8
2013-12-07,12
2013-12-08,5
2013-12-09,12
2013-12-10,13
2013-12-11,7
2013-12-12,26
2013-12-13,17
2013-12-14,14
2013-12-15,10
2013-12-16,19
2013-12-17,15
2013-12-18,21
2013-12-19,13
2013-12-23,8
2013-12-24,8
2013-12-25,4
2013-12-26,14
2013-12-27,4
2014-01-03,7
2014-01-04,7
2014-01-05,4
2014-01-06,10
2014-01-07,9
2014-01-08,20
2014-01-09,38
2014-01-10,24
2014-01-11,18
2014-01-12,12
2014-01-13,30
2014-01-14,30
2014-01-15,32
2014-01-16,38
2014-01-20,20
2014-01-21,12
2014-01-22,16
2014-01-23,32
2014-01-24,20
2014-01-25,10
2014-01-27,28
2014-01-28,32
2014-01-29,28
2014-01-30,14
2014-01-31,14
2014-02-01,18
2014-02-02,10
2014-02-03,32
2014-02-04,45
2014-02-05,39
2014-02-06,72
2014-02-07,132
2014-02-08,42
2014-02-10,39
2014-02-11,6
2014-02-12,5
2014-02-13,10
2014-02-14,10
2014-02-15,13
2014-02-16,4
2014-02-17,5
2014-02-19,1
2014-02-20,13
2014-02-21,12
2014-02-22,12
2014-02-23,6
2014-02-24,2
