KeyWord,Datetime,Count
Antigua,2013-09-24,4
Antigua,2013-09-25,6
Antigua,2013-09-26,1
Antigua,2013-09-27,2
Antigua,2013-09-28,20
Antigua,2013-09-29,10
Antigua,2013-09-30,3
Antigua,2013-10-01,4
Antigua,2013-10-02,4
Antigua,2013-10-03,1
Antigua,2013-10-04,4
Antigua,2013-10-05,4
Antigua,2013-10-06,11
Antigua,2013-10-07,5
Antigua,2013-10-08,12
Antigua,2013-10-09,10
Antigua,2013-10-10,9
Antigua,2013-10-11,9
Antigua,2013-10-12,5
Antigua,2013-10-13,11
Antigua,2013-10-14,3
Antigua,2013-10-18,6
Antigua,2013-10-19,15
Antigua,2013-10-20,3
Antigua,2013-10-21,1
Antigua,2013-10-22,13
Antigua,2013-10-23,6
Antigua,2013-10-25,1
Antigua,2013-10-26,4
Antigua,2013-10-27,2
Antigua,2013-10-28,46
Antigua,2013-10-29,17
Antigua,2013-10-30,7
Antigua,2013-10-31,5
Antigua,2013-11-01,27
Antigua,2013-11-02,6
Antigua,2013-11-03,2
Antigua,2013-11-04,5
Antigua,2013-11-05,2
Antigua,2013-11-06,6
Antigua,2013-11-07,4
Antigua,2013-11-08,9
Antigua,2013-11-09,2
Antigua,2013-11-10,6
Antigua,2013-11-11,4
Antigua,2013-11-12,3
Antigua,2013-11-13,4
Antigua,2013-11-14,12
Antigua,2013-11-15,4
Antigua,2013-11-16,8
Antigua,2013-11-17,2
Antigua,2013-11-18,2
Antigua,2013-11-19,5
Antigua,2013-11-20,4
Antigua,2013-11-23,3
Antigua,2013-11-24,2
Antigua,2013-11-25,3
Antigua,2013-11-26,2
Antigua,2013-11-27,2
Antigua,2013-11-28,2
Antigua,2013-11-29,3
Antigua,2013-11-30,5
Antigua,2013-12-01,6
Antigua,2013-12-02,1
Antigua,2013-12-03,4
Antigua,2013-12-04,14
Antigua,2013-12-05,4
Antigua,2013-12-06,2
Antigua,2013-12-07,10
Antigua,2013-12-08,4
Antigua,2013-12-09,5
Antigua,2013-12-10,4
Antigua,2013-12-11,4
Antigua,2013-12-12,4
Antigua,2013-12-13,6
Antigua,2013-12-14,7
Antigua,2013-12-15,6
Antigua,2013-12-16,2
Antigua,2013-12-17,2
Antigua,2013-12-18,6
Antigua,2013-12-19,10
Antigua,2013-12-23,3
Antigua,2013-12-24,4
Antigua,2013-12-25,1
Antigua,2013-12-26,8
Antigua,2014-01-03,6
Antigua,2014-01-04,6
Antigua,2014-01-05,8
Antigua,2014-01-06,6
Antigua,2014-01-07,5
Antigua,2014-01-08,1
