Date,Count
2013-09-25,11
2013-09-26,12
2013-09-27,8
2013-09-28,7
2013-09-29,17
2013-09-30,15
2013-10-01,4
2013-10-02,4
2013-10-03,4
2013-10-04,14
2013-10-05,16
2013-10-06,10
2013-10-07,7
2013-10-08,12
2013-10-09,11
2013-10-10,10
2013-10-11,6
2013-10-12,14
2013-10-13,4
2013-10-14,16
2013-10-18,11
2013-10-19,30
2013-10-20,15
2013-10-21,17
2013-10-22,10
2013-10-23,7
2013-10-24,3
2013-10-25,47
2013-10-26,18
2013-10-27,5
2013-10-28,15
2013-10-29,4
2013-10-30,114
2013-10-31,16
2013-11-01,9
2013-11-02,8
2013-11-03,21
2013-11-04,9
2013-11-05,7
2013-11-06,17
2013-11-07,19
2013-11-08,9
2013-11-09,9
2013-11-10,17
2013-11-11,16
2013-11-12,14
2013-11-13,20
2013-11-14,25
2013-11-15,19
2013-11-16,7
2013-11-17,7
2013-11-18,10
2013-11-19,48
2013-11-20,6
2013-11-22,4
2013-11-23,10
2013-11-24,3
2013-11-25,6
2013-11-26,13
2013-11-27,9
2013-11-28,7
2013-11-29,13
2013-11-30,3
2013-12-01,6
2013-12-02,3
2013-12-03,4
2013-12-04,20
2013-12-05,9
2013-12-06,8
2013-12-07,3
2013-12-08,17
2013-12-09,17
2013-12-10,11
2013-12-11,11
2013-12-12,14
2013-12-13,27
2013-12-14,9
2013-12-15,7
2013-12-16,13
2013-12-17,8
2013-12-18,6
2013-12-19,8
2013-12-23,5
2013-12-24,7
2013-12-25,6
2013-12-26,5
2013-12-27,3
2014-01-03,5
2014-01-04,11
2014-01-05,9
2014-01-06,3
2014-01-07,9
2014-01-08,11
2014-01-09,16
2014-01-10,24
2014-01-11,4
2014-01-13,18
2014-01-14,10
2014-01-15,6
2014-01-16,14
2014-01-20,10
2014-01-21,18
2014-01-22,8
2014-01-23,16
2014-01-24,6
2014-01-27,8
2014-01-28,28
2014-01-29,32
2014-01-30,14
2014-01-31,16
2014-02-01,14
2014-02-02,18
2014-02-03,25
2014-02-04,39
2014-02-05,30
2014-02-06,18
2014-02-07,21
2014-02-08,15
2014-02-10,45
2014-02-11,12
2014-02-12,21
2014-02-13,54
2014-02-14,21
2014-02-15,27
2014-02-16,33
2014-02-20,21
2014-02-21,24
2014-02-22,39
2014-02-23,39
2014-02-24,12
2014-03-03,18
2014-03-04,9
