Date,Count
2013-09-24,8
2013-09-25,2
2013-09-26,12
2013-09-27,9
2013-09-28,11
2013-09-29,136
2013-09-30,44
2013-10-01,11
2013-10-02,32
2013-10-03,8
2013-10-04,12
2013-10-05,12
2013-10-06,11
2013-10-07,19
2013-10-08,15
2013-10-09,31
2013-10-10,15
2013-10-11,25
2013-10-12,10
2013-10-13,16
2013-10-14,28
2013-10-15,1
2013-10-18,39
2013-10-19,56
2013-10-20,34
2013-10-21,19
2013-10-22,14
2013-10-23,22
2013-10-24,6
2013-10-25,25
2013-10-26,13
2013-10-27,10
2013-10-28,10
2013-10-29,15
2013-10-30,27
2013-10-31,52
2013-11-01,156
2013-11-02,114
2013-11-03,53
2013-11-04,61
2013-11-05,54
2013-11-06,196
2013-11-07,119
2013-11-08,45
2013-11-09,23
2013-11-10,20
2013-11-11,44
2013-11-12,138
2013-11-13,47
2013-11-14,42
2013-11-15,16
2013-11-16,10
2013-11-17,18
2013-11-18,19
2013-11-19,33
2013-11-20,18
2013-11-22,8
2013-11-23,13
2013-11-24,12
2013-11-25,15
2013-11-26,17
2013-11-27,22
2013-11-28,57
2013-11-29,51
2013-11-30,187
2013-12-01,72
2013-12-02,161
2013-12-03,24
2013-12-04,46
2013-12-05,34
2013-12-06,51
2013-12-07,25
2013-12-08,17
2013-12-09,7
2013-12-10,10
2013-12-11,22
2013-12-12,11
2013-12-13,16
2013-12-14,14
2013-12-15,32
2013-12-16,11
2013-12-17,12
2013-12-18,24
2013-12-19,18
2013-12-22,4
2013-12-23,74
2013-12-24,57
2013-12-25,79
2013-12-26,394
2013-12-27,161
2014-01-03,13
2014-01-04,28
2014-01-05,22
2014-01-06,85
2014-01-07,28
2014-01-08,31
2014-01-09,40
2014-01-10,26
2014-01-11,50
2014-01-12,58
2014-01-13,356
2014-01-14,38
2014-01-15,46
2014-01-16,10
2014-01-20,28
2014-01-21,76
2014-01-22,32
2014-01-23,66
2014-01-24,30
2014-01-25,2
2014-01-27,138
2014-01-28,138
2014-01-29,70
2014-01-30,58
2014-01-31,82
2014-02-01,88
2014-02-02,310
2014-02-03,54
2014-02-04,99
2014-02-05,45
2014-02-06,72
2014-02-07,60
2014-02-08,33
2014-02-10,270
2014-02-11,30
2014-02-12,35
2014-02-13,37
2014-02-14,24
2014-02-15,26
2014-02-16,25
2014-02-17,2
2014-02-20,87
2014-02-21,30
2014-02-22,22
2014-02-23,14
2014-02-24,10
