Date,Count
2013-09-26,2
2013-09-28,6
2013-10-02,2
2013-10-03,3
2013-10-04,2
2013-10-06,3
2013-10-07,1
2013-10-08,1
2013-10-10,2
2013-10-11,1
2013-10-13,1
2013-10-14,1
2013-10-18,1
2013-10-19,3
2013-10-21,1
2013-10-22,3
2013-10-23,3
2013-10-27,1
2013-10-28,2
2013-10-29,4
2013-10-30,7
2013-10-31,1
2013-11-01,3
2013-11-02,4
2013-11-06,1
2013-11-09,1
2013-11-11,1
2013-11-12,3
2013-11-15,1
2013-11-16,1
2013-11-18,2
2013-11-20,2
2013-11-25,2
2013-11-26,2
2013-11-27,1
2013-11-29,1
2013-11-30,1
2013-12-02,4
2013-12-06,2
2013-12-08,1
2013-12-09,2
2013-12-10,1
2013-12-11,6
2013-12-12,1
2013-12-14,1
2013-12-16,2
2013-12-17,2
2013-12-18,1
2013-12-19,1
2014-01-03,5
2014-01-04,1
2014-01-07,1
2014-01-08,2
2014-01-09,2
2014-01-10,4
2014-01-12,2
2014-01-16,2
2014-01-21,2
2014-01-22,4
2014-01-24,6
2014-01-28,14
2014-01-29,14
2014-01-30,4
2014-02-01,2
2014-02-02,46
2014-02-03,4
2014-02-04,3
2014-02-06,12
2014-02-07,15
2014-02-08,6
2014-02-10,3
2014-02-12,12
2014-02-14,2
2014-02-15,2
2014-02-16,2
2014-02-21,1
2014-02-22,1
2014-02-23,1
