Date,Count
2013-09-25,1
2013-09-26,1
2013-09-28,1
2013-09-30,3
2013-10-07,1
2013-10-08,2
2013-10-11,1
2013-10-13,76
2013-10-14,15
2013-10-19,5
2013-10-20,3
2013-10-23,6
2013-10-27,2
2013-10-28,1
2013-10-31,4
2013-11-02,2
2013-11-03,2
2013-11-04,1
2013-11-07,4
2013-11-08,2
2013-11-09,1
2013-11-10,4
2013-11-11,1
2013-11-12,2
2013-11-13,1
2013-11-15,1
2013-11-16,1
2013-11-17,2
2013-11-22,1
2013-11-23,1
2013-11-24,2
2013-11-28,1
2013-11-29,1
2013-11-30,1
2013-12-02,1
2013-12-07,1
2013-12-08,1
2013-12-12,4
2013-12-14,1
2013-12-15,4
2013-12-16,1
2013-12-17,1
2013-12-19,1
2013-12-23,1
2013-12-25,1
2014-01-03,10
2014-01-04,13
2014-01-05,7
2014-01-06,3
2014-01-07,1
2014-01-08,61
2014-01-09,8
2014-01-10,4
2014-01-11,6
2014-01-12,4
2014-01-15,6
2014-01-16,6
2014-01-20,2
2014-01-21,2
2014-01-23,4
2014-01-24,4
2014-01-28,2
2014-01-31,4
2014-02-01,2
2014-02-02,4
2014-02-03,9
2014-02-07,33
2014-02-08,3
2014-02-11,3
