Date,Count
2013-09-24,2
2013-09-25,3
2013-09-26,7
2013-09-27,2
2013-09-28,8
2013-09-29,8
2013-09-30,1
2013-10-02,1
2013-10-03,8
2013-10-04,1
2013-10-05,3
2013-10-06,4
2013-10-07,4
2013-10-08,2
2013-10-09,8
2013-10-10,2
2013-10-11,4
2013-10-12,3
2013-10-13,3
2013-10-14,2
2013-10-18,4
2013-10-19,5
2013-10-20,1
2013-10-21,1
2013-10-22,2
2013-10-23,3
2013-10-25,2
2013-10-27,9
2013-10-28,1
2013-10-29,1
2013-10-30,3
2013-10-31,4
2013-11-01,5
2013-11-03,7
2013-11-04,8
2013-11-05,1
2013-11-06,4
2013-11-07,2
2013-11-08,4
2013-11-09,7
2013-11-11,4
2013-11-12,3
2013-11-13,10
2013-11-14,5
2013-11-15,1
2013-11-16,1
2013-11-17,4
2013-11-18,1
2013-11-19,7
2013-11-20,12
2013-11-23,4
2013-11-24,3
2013-11-25,2
2013-11-26,4
2013-11-27,1
2013-11-28,3
2013-11-29,1
2013-11-30,4
2013-12-01,2
2013-12-02,1
2013-12-03,2
2013-12-04,5
2013-12-05,10
2013-12-06,4
2013-12-07,4
2013-12-08,6
2013-12-09,5
2013-12-11,6
2013-12-12,14
2013-12-13,4
2013-12-14,8
2013-12-15,6
2013-12-16,5
2013-12-17,18
2013-12-18,4
2013-12-19,9
2013-12-23,10
2013-12-24,6
2013-12-25,1
2013-12-26,2
2013-12-27,2
2014-01-03,4
2014-01-04,5
2014-01-05,6
2014-01-06,1
2014-01-07,8
2014-01-08,3
2014-02-03,18
2014-02-04,9
2014-02-05,15
2014-02-06,9
2014-02-07,30
2014-02-08,9
2014-02-10,6
2014-02-11,6
