Date,Count
2013-09-24,1
2013-09-25,5
2013-09-26,26
2013-09-27,1
2013-09-29,3
2013-09-30,3
2013-10-01,2
2013-10-02,3
2013-10-04,1
2013-10-05,2
2013-10-06,1
2013-10-07,3
2013-10-08,2
2013-10-11,2
2013-10-12,2
2013-10-13,3
2013-10-14,2
2013-10-19,1
2013-10-20,5
2013-10-21,18
2013-10-22,2
2013-10-23,5
2013-10-25,4
2013-10-26,8
2013-10-27,3
2013-10-28,4
2013-10-29,4
2013-10-30,2
2013-10-31,2
2013-11-01,6
2013-11-02,1
2013-11-03,5
2013-11-04,3
2013-11-06,1
2013-11-07,3
2013-11-08,5
2013-11-09,7
2013-11-10,1
2013-11-11,3
2013-11-12,1
2013-11-14,5
2013-11-16,2
2013-11-17,1
2013-11-18,9
2013-11-19,3
2013-11-20,8
2013-11-23,1
2013-11-25,6
2013-11-26,2
2013-11-27,1
2013-11-28,1
2013-11-29,7
2013-11-30,13
2013-12-02,3
2013-12-03,4
2013-12-04,1
2013-12-05,28
2013-12-06,65
2013-12-07,379
2013-12-08,35
2013-12-09,17
2013-12-10,6
2013-12-11,3
2013-12-12,1
2013-12-14,20
2013-12-15,18
2013-12-16,14
2013-12-17,66
2013-12-18,193
2013-12-19,80
2013-12-20,1
2013-12-23,1
2013-12-24,3
2013-12-25,2
2013-12-26,5
2014-01-03,1
2014-01-04,5
2014-01-05,2
2014-01-06,4
2014-01-07,4
2014-01-08,13
2014-01-09,8
2014-01-10,4
2014-01-11,4
2014-01-12,18
2014-01-13,2
2014-01-14,8
2014-01-16,2
2014-01-20,2
2014-01-21,18
2014-01-23,2
2014-01-24,2
2014-01-25,2
2014-01-27,16
2014-01-28,6
2014-01-29,6
2014-01-30,6
2014-01-31,12
2014-02-01,6
2014-02-02,10
2014-02-04,6
2014-02-05,6
2014-02-06,3
2014-02-10,18
2014-02-11,3
