Date,Count
2013-09-24,31
2013-09-25,73
2013-09-26,159
2013-09-27,59
2013-09-28,115
2013-09-29,148
2013-09-30,106
2013-10-01,43
2013-10-02,78
2013-10-03,28
2013-10-04,103
2013-10-05,113
2013-10-06,177
2013-10-07,162
2013-10-08,91
2013-10-09,62
2013-10-10,134
2013-10-11,103
2013-10-12,139
2013-10-13,116
2013-10-14,93
2013-10-15,1
2013-10-18,59
2013-10-19,105
2013-10-20,71
2013-10-21,71
2013-10-22,153
2013-10-23,141
2013-10-24,46
2013-10-25,133
2013-10-26,106
2013-10-27,80
2013-10-28,230
2013-10-29,282
2013-10-30,80
2013-10-31,72
2013-11-01,88
2013-11-02,83
2013-11-03,70
2013-11-04,107
2013-11-05,20
2013-11-06,182
2013-11-07,148
2013-11-08,101
2013-11-09,89
2013-11-10,71
2013-11-11,70
2013-11-12,86
2013-11-13,77
2013-11-14,79
2013-11-15,38
2013-11-16,116
2013-11-17,105
2013-11-18,95
2013-11-19,1242
2013-11-20,1188
2013-11-22,48
2013-11-23,101
2013-11-24,85
2013-11-25,92
2013-11-26,100
2013-11-27,58
2013-11-28,92
2013-11-29,118
2013-11-30,125
2013-12-01,45
2013-12-02,85
2013-12-03,54
2013-12-04,50
2013-12-05,131
2013-12-06,96
2013-12-07,88
2013-12-08,66
2013-12-09,111
2013-12-10,86
2013-12-11,67
2013-12-12,128
2013-12-13,93
2013-12-14,70
2013-12-15,70
2013-12-16,60
2013-12-17,198
2013-12-18,76
2013-12-19,61
2013-12-20,1
2013-12-22,4
2013-12-23,46
2013-12-24,66
2013-12-25,50
2013-12-26,467
2013-12-27,40
2014-01-03,52
2014-01-04,57
2014-01-05,68
2014-01-06,57
2014-01-07,76
2014-01-08,1395
2014-01-09,1220
2014-01-10,1306
2014-01-11,1300
2014-01-12,404
2014-01-13,230
2014-01-14,188
2014-01-15,196
2014-01-16,120
2014-01-20,96
2014-01-21,178
2014-01-22,104
2014-01-23,146
2014-01-24,154
2014-01-25,32
2014-01-27,140
2014-01-28,134
2014-01-29,80
2014-01-30,114
2014-01-31,270
2014-02-01,428
2014-02-02,116
2014-02-03,522
2014-02-04,618
2014-02-05,246
2014-02-06,285
2014-02-07,246
2014-02-08,117
2014-02-10,174
2014-02-11,849
2014-02-12,85
2014-02-13,124
2014-02-14,79
2014-02-15,78
2014-02-16,82
2014-02-17,14
2014-02-19,6
2014-02-20,86
2014-02-21,154
2014-02-22,140
2014-02-23,82
2014-02-24,35
