Date,Count
2013-09-26,1
2013-09-28,13
2013-09-29,1
2013-09-30,20
2013-10-01,1
2013-10-03,40
2013-10-05,2
2013-10-06,5
2013-10-07,1
2013-10-08,1
2013-10-10,2
2013-10-12,3
2013-10-13,4
2013-10-14,6
2013-10-18,1
2013-10-19,1
2013-10-20,2
2013-10-22,1
2013-10-27,1
2013-10-28,8
2013-10-29,1
2013-10-31,1
2013-11-03,37
2013-11-04,80
2013-11-06,53
2013-11-07,1
2013-11-08,12
2013-11-09,1
2013-11-12,3
2013-11-13,4
2013-11-14,24
2013-11-16,18
2013-11-17,4
2013-11-19,1
2013-11-20,282
2013-11-23,20
2013-11-24,4
2013-11-25,1
2013-11-28,1
2013-11-29,1
2013-11-30,24
2013-12-01,1733
2013-12-02,182
2013-12-03,24
2013-12-04,28
2013-12-05,16
2013-12-06,81
2013-12-07,12
2013-12-08,9
2013-12-09,63
2013-12-11,2
2013-12-12,311
2013-12-13,20
2013-12-14,38
2013-12-15,74
2013-12-16,91
2013-12-17,5
2013-12-18,4
2013-12-19,11
2013-12-22,1
2013-12-23,8
2013-12-24,3
2013-12-25,15
2013-12-26,3
2013-12-27,25
2014-01-03,2
2014-01-04,1
2014-01-06,2
2014-01-07,3
2014-01-08,5
2014-01-10,8
2014-01-11,2
2014-01-12,18
2014-01-14,54
2014-01-15,20
2014-01-16,2
2014-01-20,2
2014-01-21,4
2014-01-22,60
2014-01-23,2
2014-01-24,64
2014-01-27,96
2014-01-29,2
2014-01-30,2
2014-01-31,10
2014-02-01,2
2014-02-02,74
2014-02-03,117
2014-02-04,6
2014-02-07,9
2014-02-10,3
2014-02-11,3
2014-02-12,1
2014-02-13,5
2014-02-14,7
2014-02-15,10
2014-02-16,3
2014-02-20,1
2014-02-21,4
2014-02-22,3
2014-02-23,7
2014-02-24,1
