KeyWord,Datetime,Count
Dayton,2013-09-24,8
Dayton,2013-09-25,25
Dayton,2013-09-26,21
Dayton,2013-09-27,19
Dayton,2013-09-28,23
Dayton,2013-09-29,9
Dayton,2013-09-30,31
Dayton,2013-10-01,10
Dayton,2013-10-02,12
Dayton,2013-10-03,7
Dayton,2013-10-04,20
Dayton,2013-10-05,19
Dayton,2013-10-06,13
Dayton,2013-10-07,13
Dayton,2013-10-08,10
Dayton,2013-10-09,12
Dayton,2013-10-10,18
Dayton,2013-10-11,18
Dayton,2013-10-12,21
Dayton,2013-10-13,7
Dayton,2013-10-14,26
Dayton,2013-10-18,8
Dayton,2013-10-19,17
Dayton,2013-10-20,46
Dayton,2013-10-21,25
Dayton,2013-10-22,14
Dayton,2013-10-23,18
Dayton,2013-10-24,9
Dayton,2013-10-25,16
Dayton,2013-10-26,15
Dayton,2013-10-27,18
Dayton,2013-10-28,12
Dayton,2013-10-29,15
Dayton,2013-10-30,6
Dayton,2013-10-31,13
Dayton,2013-11-01,40
Dayton,2013-11-02,38
Dayton,2013-11-03,14
Dayton,2013-11-04,24
Dayton,2013-11-05,6
Dayton,2013-11-06,13
Dayton,2013-11-07,34
Dayton,2013-11-08,21
Dayton,2013-11-09,31
Dayton,2013-11-10,15
Dayton,2013-11-11,30
Dayton,2013-11-12,21
Dayton,2013-11-13,27
Dayton,2013-11-14,67
Dayton,2013-11-15,14
Dayton,2013-11-16,30
Dayton,2013-11-17,17
Dayton,2013-11-18,24
Dayton,2013-11-19,26
Dayton,2013-11-20,26
Dayton,2013-11-22,11
Dayton,2013-11-23,9
Dayton,2013-11-24,4
Dayton,2013-11-25,16
Dayton,2013-11-26,37
Dayton,2013-11-27,7
Dayton,2013-11-28,18
Dayton,2013-11-29,24
Dayton,2013-11-30,9
Dayton,2013-12-01,5
Dayton,2013-12-02,8
Dayton,2013-12-03,119
Dayton,2013-12-04,23
Dayton,2013-12-05,12
Dayton,2013-12-06,24
Dayton,2013-12-07,27
Dayton,2013-12-08,34
Dayton,2013-12-09,14
Dayton,2013-12-10,24
Dayton,2013-12-11,14
Dayton,2013-12-12,18
Dayton,2013-12-13,26
Dayton,2013-12-14,18
Dayton,2013-12-15,5
Dayton,2013-12-16,17
Dayton,2013-12-17,16
Dayton,2013-12-18,19
Dayton,2013-12-19,16
Dayton,2013-12-20,2
Dayton,2013-12-22,4
Dayton,2013-12-23,15
Dayton,2013-12-24,6
Dayton,2013-12-25,11
Dayton,2013-12-26,9
Dayton,2013-12-27,2
Dayton,2014-01-03,104
Dayton,2014-01-04,59
Dayton,2014-01-05,58
Dayton,2014-01-06,78
Dayton,2014-01-07,26
Dayton,2014-01-08,7
