Date,Count
2013-09-24,6
2013-09-25,15
2013-09-26,26
2013-09-27,34
2013-09-28,13
2013-09-29,13
2013-09-30,13
2013-10-01,7
2013-10-02,18
2013-10-03,8
2013-10-04,44
2013-10-05,48
2013-10-06,24
2013-10-07,35
2013-10-08,27
2013-10-09,20
2013-10-10,32
2013-10-11,14
2013-10-12,5
2013-10-13,18
2013-10-14,7
2013-10-18,21
2013-10-19,42
2013-10-20,43
2013-10-21,19
2013-10-22,14
2013-10-23,8
2013-10-24,6
2013-10-25,13
2013-10-26,16
2013-10-27,12
2013-10-28,18
2013-10-29,88
2013-10-30,25
2013-10-31,25
2013-11-01,15
2013-11-02,12
2013-11-03,10
2013-11-04,12
2013-11-05,3
2013-11-06,37
2013-11-07,57
2013-11-08,25
2013-11-09,34
2013-11-10,14
2013-11-11,19
2013-11-12,21
2013-11-13,18
2013-11-14,33
2013-11-15,12
2013-11-16,16
2013-11-17,26
2013-11-18,39
2013-11-19,36
2013-11-20,46
2013-11-22,2
2013-11-23,83
2013-11-24,14
2013-11-25,8
2013-11-26,19
2013-11-27,8
2013-11-28,10
2013-11-29,10
2013-11-30,19
2013-12-01,33
2013-12-02,11
2013-12-03,18
2013-12-04,18
2013-12-05,12
2013-12-06,16
2013-12-07,37
2013-12-08,15
2013-12-09,28
2013-12-10,30
2013-12-11,71
2013-12-12,36
2013-12-13,10
2013-12-14,13
2013-12-15,13
2013-12-16,39
2013-12-17,26
2013-12-18,22
2013-12-19,17
2013-12-20,1
2013-12-23,14
2013-12-24,6
2013-12-25,8
2013-12-26,11
2013-12-27,7
2014-01-03,19
2014-01-04,224
2014-01-05,61
2014-01-06,44
2014-01-07,28
2014-01-08,54
2014-01-09,42
2014-01-10,76
2014-01-11,68
2014-01-12,54
2014-01-13,136
2014-01-14,156
2014-01-15,154
2014-01-16,54
2014-01-20,22
2014-01-21,48
2014-01-22,42
2014-01-23,36
2014-01-24,28
2014-01-25,12
2014-01-27,30
2014-01-28,20
2014-01-29,28
2014-01-30,10
2014-01-31,34
2014-02-01,24
2014-02-02,24
2014-02-03,27
2014-02-04,48
2014-02-05,156
2014-02-06,69
2014-02-07,84
2014-02-08,63
2014-02-10,87
2014-02-11,72
