Date,Count
2013-09-25,1
2013-09-26,1
2013-09-29,4
2013-09-30,2
2013-10-02,2
2013-10-03,2
2013-10-04,4
2013-10-05,11
2013-10-07,1
2013-10-08,19
2013-10-09,1
2013-10-11,2
2013-10-14,4
2013-10-18,5
2013-10-19,4
2013-10-20,2
2013-10-22,33
2013-10-23,13
2013-10-24,1
2013-10-25,2
2013-10-26,2
2013-10-27,3
2013-10-28,4
2013-10-29,1
2013-10-30,2
2013-11-04,1
2013-11-10,1
2013-11-26,2
2013-11-29,1
2013-12-02,1
2013-12-05,1
2013-12-06,2
2013-12-08,1
2013-12-09,1
2013-12-11,1
2013-12-15,1
2013-12-17,2
2013-12-18,3
2014-01-06,1
2014-01-16,2
2014-01-20,2
2014-01-28,6
2014-02-02,2
2014-02-07,3
