Date,Count
2013-09-25,3
2013-09-26,1
2013-09-27,2
2013-09-28,3
2013-09-29,11
2013-09-30,1
2013-10-01,2
2013-10-04,1
2013-10-05,1
2013-10-06,2
2013-10-07,2
2013-10-08,10
2013-10-09,1
2013-10-10,4
2013-10-11,2
2013-10-12,1
2013-10-13,1
2013-10-14,7
2013-10-18,1
2013-10-19,1
2013-10-20,3
2013-10-21,8
2013-10-22,1
2013-10-24,2
2013-10-27,2
2013-10-28,2
2013-10-29,2
2013-11-01,4
2013-11-04,2
2013-11-05,2
2013-11-07,1
2013-11-08,3
2013-11-09,1
2013-11-10,3
2013-11-11,3
2013-11-13,3
2013-11-16,1
2013-11-17,2
2013-11-18,4
2013-11-19,12
2013-11-20,6
2013-11-23,2
2013-11-25,4
2013-11-27,1
2013-11-28,2
2013-11-29,1
2013-11-30,1
2013-12-02,3
2013-12-03,3
2013-12-04,1
2013-12-05,4
2013-12-06,3
2013-12-07,3
2013-12-08,1
2013-12-10,1
2013-12-11,3
2013-12-12,2
2013-12-15,1
2013-12-16,7
2013-12-17,3
2013-12-19,2
2013-12-23,4
2013-12-26,1
2014-01-08,4
2014-01-09,4
2014-01-10,2
2014-01-11,8
2014-01-13,8
2014-01-14,4
2014-01-15,2
2014-01-16,4
2014-01-20,8
2014-01-21,2
2014-01-22,2
2014-01-23,8
2014-01-24,2
2014-01-27,14
2014-01-28,14
2014-01-29,20
2014-01-30,6
2014-01-31,6
2014-02-01,8
2014-02-02,4
2014-02-03,12
2014-02-06,36
2014-02-07,9
2014-02-08,9
2014-02-10,3
