Date,Count
2013-09-24,32
2013-09-25,67
2013-09-26,233
2013-09-27,50
2013-09-28,42
2013-09-29,55
2013-09-30,211
2013-10-01,90
2013-10-02,81
2013-10-03,13
2013-10-04,27
2013-10-05,107
2013-10-06,36
2013-10-07,36
2013-10-08,34
2013-10-09,48
2013-10-10,53
2013-10-11,44
2013-10-12,40
2013-10-13,29
2013-10-14,272
2013-10-15,1
2013-10-18,446
2013-10-19,134
2013-10-20,68
2013-10-21,52
2013-10-22,72
2013-10-23,111
2013-10-24,42
2013-10-25,110
2013-10-26,31
2013-10-27,142
2013-10-28,61
2013-10-29,55
2013-10-30,34
2013-10-31,42
2013-11-01,36
2013-11-02,64
2013-11-03,31
2013-11-04,52
2013-11-05,14
2013-11-06,45
2013-11-07,118
2013-11-08,145
2013-11-09,63
2013-11-10,37
2013-11-11,649
2013-11-12,955
2013-11-13,1615
2013-11-14,389
2013-11-15,91
2013-11-16,503
2013-11-17,617
2013-11-18,137
2013-11-19,210
2013-11-20,120
2013-11-22,41
2013-11-23,296
2013-11-24,126
2013-11-25,97
2013-11-26,127
2013-11-27,39
2013-11-28,60
2013-11-29,60
2013-11-30,43
2013-12-01,22
2013-12-02,116
2013-12-03,41
2013-12-04,103
2013-12-05,63
2013-12-06,135
2013-12-07,77
2013-12-08,53
2013-12-09,57
2013-12-10,508
2013-12-11,187
2013-12-12,98
2013-12-13,69
2013-12-14,126
2013-12-15,287
2013-12-16,69
2013-12-17,71
2013-12-18,193
2013-12-19,103
2013-12-20,15
2013-12-23,56
2013-12-24,33
2013-12-25,36
2013-12-26,103
2013-12-27,15
2014-01-03,29
2014-01-04,190
2014-01-05,418
2014-01-06,210
2014-01-07,210
2014-01-08,186
2014-01-09,948
2014-01-10,384
2014-01-11,532
2014-01-12,148
2014-01-13,206
2014-01-14,226
2014-01-15,2032
2014-01-16,1462
2014-01-20,388
2014-01-21,194
2014-01-22,962
2014-01-23,382
2014-01-24,594
2014-01-25,18
2014-01-27,170
2014-01-28,304
2014-01-29,190
2014-01-30,228
2014-01-31,300
2014-02-01,250
2014-02-02,510
2014-02-03,596
2014-02-04,147
2014-02-05,249
2014-02-06,501
2014-02-07,588
2014-02-08,981
2014-02-10,864
2014-02-11,108
2014-02-12,471
2014-02-13,1806
2014-02-14,900
2014-02-15,915
2014-02-16,2259
2014-02-17,147
2014-02-19,51
2014-02-20,642
2014-02-21,4353
2014-02-22,3213
2014-02-23,765
2014-02-24,66
2014-03-03,180
2014-03-04,188
