Date,Count
2013-09-26,1
2013-09-30,3
2013-10-02,1
2013-10-04,2
2013-10-06,3
2013-10-08,1
2013-10-12,1
2013-10-14,18
2013-10-18,1
2013-10-19,2
2013-10-21,5
2013-10-23,1
2013-10-27,1
2013-10-28,2
2013-10-29,1
2013-10-30,2
2013-10-31,1
2013-11-02,4
2013-11-03,5
2013-11-04,1
2013-11-06,23
2013-11-07,11
2013-11-09,2
2013-11-10,2
2013-11-11,1
2013-11-12,3
2013-11-13,2
2013-11-14,2
2013-11-15,3
2013-11-16,3
2013-11-18,7
2013-11-19,2
2013-11-20,4
2013-11-28,4
2013-11-29,2
2013-12-04,5
2013-12-05,2
2013-12-06,12
2013-12-07,2
2013-12-09,1
2013-12-10,2
2013-12-12,1
2013-12-13,4
2013-12-14,2
2013-12-17,4
2013-12-19,1
2013-12-20,1
2014-02-04,3
2014-02-06,6
2014-02-08,6
2014-02-11,3
2014-02-12,3
2014-02-13,9
2014-02-14,3
2014-02-15,12
2014-02-17,3
2014-02-21,6
2014-03-03,2
