Date,Count
2013-09-24,1
2013-09-25,2
2013-09-26,5
2013-09-28,8
2013-09-29,4
2013-09-30,3
2013-10-01,1
2013-10-02,9
2013-10-04,8
2013-10-05,3
2013-10-06,4
2013-10-07,1
2013-10-08,9
2013-10-09,5
2013-10-10,8
2013-10-11,2
2013-10-12,1
2013-10-13,2
2013-10-14,1
2013-10-18,9
2013-10-19,3
2013-10-20,5
2013-10-21,3
2013-10-22,5
2013-10-23,7
2013-10-24,4
2013-10-25,6
2013-10-26,4
2013-10-27,21
2013-10-28,3
2013-10-29,1
2013-10-30,3
2013-10-31,6
2013-11-01,2
2013-11-02,4
2013-11-03,2
2013-11-04,7
2013-11-05,2
2013-11-06,31
2013-11-08,3
2013-11-09,10
2013-11-10,6
2013-11-11,12
2013-11-12,4
2013-11-13,1
2013-11-14,2
2013-11-15,3
2013-11-18,2
2013-11-19,10
2013-11-20,16
2013-11-22,1
2013-11-23,24
2013-11-24,9
2013-11-25,2
2013-11-26,4
2013-11-27,6
2013-11-28,1
2013-11-29,8
2013-11-30,10
2013-12-01,5
2013-12-02,4
2013-12-03,3
2013-12-04,2
2013-12-05,2
2013-12-07,2
2013-12-08,1
2013-12-09,10
2013-12-11,5
2013-12-12,3
2013-12-13,3
2013-12-15,3
2013-12-16,1
2013-12-17,2
2013-12-18,5
2013-12-19,18
2013-12-23,10
2013-12-24,34
2013-12-25,26
2013-12-26,10
2013-12-27,3
2014-01-03,2
2014-01-05,1
2014-01-06,2
2014-01-07,2
2014-01-08,1
2014-01-09,44
2014-01-10,18
2014-01-12,56
2014-01-13,18
2014-01-14,16
2014-01-15,2
2014-01-16,2
2014-01-20,6
2014-01-21,12
2014-01-22,12
2014-01-23,72
2014-01-24,18
2014-01-27,4
2014-01-29,20
2014-01-30,26
2014-01-31,6
2014-02-01,16
2014-02-03,189
2014-02-04,102
2014-02-05,27
2014-02-06,24
2014-02-07,9
2014-02-08,6
2014-02-10,12
2014-02-12,12
2014-02-13,6
2014-02-14,3
2014-02-15,9
2014-02-17,3
2014-02-20,6
2014-02-21,99
2014-02-22,66
2014-02-23,36
2014-02-24,3
2014-03-03,2
