Date,Count
2013-09-24,130
2013-09-25,361
2013-09-26,507
2013-09-27,332
2013-09-28,1065
2013-09-29,413
2013-09-30,890
2013-10-01,145
2013-10-02,297
2013-10-03,375
2013-10-04,242
2013-10-05,334
2013-10-06,364
2013-10-07,237
2013-10-08,374
2013-10-09,156
2013-10-10,194
2013-10-11,451
2013-10-12,1824
2013-10-13,1051
2013-10-14,1011
2013-10-15,51
2013-10-18,372
2013-10-19,433
2013-10-20,371
2013-10-21,572
2013-10-22,902
2013-10-23,362
2013-10-24,82
2013-10-25,194
2013-10-26,245
2013-10-27,378
2013-10-28,371
2013-10-29,390
2013-10-30,258
2013-10-31,309
2013-11-01,323
2013-11-02,452
2013-11-03,385
2013-11-04,649
2013-11-05,95
2013-11-06,277
2013-11-07,892
2013-11-08,461
2013-11-09,770
2013-11-10,412
2013-11-11,313
2013-11-12,1556
2013-11-13,974
2013-11-14,566
2013-11-15,349
2013-11-16,463
2013-11-17,249
2013-11-18,290
2013-11-19,798
2013-11-20,934
2013-11-22,134
2013-11-23,310
2013-11-24,307
2013-11-25,202
2013-11-26,180
2013-11-27,94
2013-11-28,213
2013-11-29,224
2013-11-30,270
2013-12-01,393
2013-12-02,208
2013-12-03,553
2013-12-04,534
2013-12-05,525
2013-12-06,474
2013-12-07,324
2013-12-08,205
2013-12-09,861
2013-12-10,394
2013-12-11,241
2013-12-12,311
2013-12-13,288
2013-12-14,222
2013-12-15,416
2013-12-16,372
2013-12-17,192
2013-12-18,517
2013-12-19,3075
2013-12-20,31
2013-12-22,14
2013-12-23,276
2013-12-24,615
2013-12-25,522
2013-12-26,430
2013-12-27,231
2014-01-03,98
2014-01-04,243
2014-01-05,822
2014-01-06,399
2014-01-07,233
2014-01-08,923
2014-01-09,854
2014-01-10,916
2014-01-11,1578
2014-01-12,748
2014-01-13,474
2014-01-14,498
2014-01-15,1528
2014-01-16,532
2014-01-20,304
2014-01-21,676
2014-01-22,482
2014-01-23,438
2014-01-24,338
2014-01-25,176
2014-01-27,332
2014-01-28,1074
2014-01-29,1430
2014-01-30,368
2014-01-31,724
2014-02-01,452
2014-02-02,1726
2014-02-03,1559
2014-02-04,2148
2014-02-05,1131
2014-02-06,2373
2014-02-07,3960
2014-02-08,903
2014-02-10,1197
2014-02-11,318
2014-02-12,1110
2014-02-13,4227
2014-02-14,1455
2014-02-15,2211
2014-02-16,1038
2014-02-17,123
2014-02-19,66
2014-02-20,1038
2014-02-21,2055
2014-02-22,1788
2014-02-23,1320
2014-02-24,471
2014-03-03,418
2014-03-04,556
