Date,Count
2013-09-24,5
2013-09-25,2
2013-09-26,20
2013-09-27,2
2013-09-28,4
2013-09-29,4
2013-09-30,11
2013-10-01,1
2013-10-02,29
2013-10-03,3
2013-10-04,3
2013-10-05,10
2013-10-06,8
2013-10-07,5
2013-10-08,11
2013-10-09,16
2013-10-10,11
2013-10-11,5
2013-10-12,10
2013-10-13,14
2013-10-14,5
2013-10-18,9
2013-10-19,12
2013-10-20,11
2013-10-21,3
2013-10-22,4
2013-10-23,9
2013-10-24,8
2013-10-25,7
2013-10-26,12
2013-10-27,7
2013-10-28,3
2013-10-29,206
2013-10-30,160
2013-10-31,24
2013-11-01,18
2013-11-02,3
2013-11-03,7
2013-11-04,190
2013-11-05,10
2013-11-06,10
2013-11-07,14
2013-11-08,9
2013-11-09,6
2013-11-10,2
2013-11-11,2
2013-11-12,3
2013-11-13,5
2013-11-14,2
2013-11-15,2
2013-11-16,9
2013-11-17,7
2013-11-18,9
2013-11-19,12
2013-11-20,20
2013-11-22,1
2013-11-23,15
2013-11-24,4
2013-11-25,2
2013-11-26,26
2013-11-27,2
2013-11-28,6
2013-11-29,2
2013-11-30,2
2013-12-01,5
2013-12-02,4
2013-12-03,8
2013-12-04,11
2013-12-05,12
2013-12-06,6
2013-12-07,4
2013-12-08,4
2013-12-09,14
2013-12-10,1
2013-12-11,8
2013-12-12,5
2013-12-13,4
2013-12-14,14
2013-12-15,7
2013-12-16,2
2013-12-17,5
2013-12-18,4
2013-12-19,8
2013-12-23,9
2013-12-24,17
2013-12-25,6
2013-12-26,5
2013-12-27,2
2014-01-03,1
2014-01-04,5
2014-01-05,31
2014-01-06,5
2014-01-07,3
2014-01-08,10
2014-01-09,24
2014-01-10,4
2014-01-11,8
2014-01-12,10
2014-01-13,14
2014-01-14,60
2014-01-15,16
2014-01-16,208
2014-01-20,16
2014-01-21,10
2014-01-22,12
2014-01-23,22
2014-01-24,14
2014-01-25,8
2014-01-27,6
2014-01-28,26
2014-01-29,20
2014-01-30,4
2014-01-31,8
2014-02-01,44
2014-02-02,66
2014-02-03,24
2014-02-04,36
2014-02-05,51
2014-02-06,66
2014-02-07,18
2014-02-08,21
2014-02-10,6
2014-02-11,24
2014-02-12,3
2014-02-13,16
2014-02-14,7
2014-02-15,6
2014-02-16,12
2014-02-17,4
2014-02-19,1
2014-02-20,8
2014-02-21,9
2014-02-22,7
2014-02-23,11
2014-02-24,9
