Date,Count
2013-09-24,41
2013-09-25,154
2013-09-26,109
2013-09-27,79
2013-09-28,96
2013-09-29,103
2013-09-30,83
2013-10-01,68
2013-10-02,100
2013-10-03,58
2013-10-04,64
2013-10-05,93
2013-10-06,59
2013-10-07,80
2013-10-08,85
2013-10-09,92
2013-10-10,60
2013-10-11,79
2013-10-12,73
2013-10-13,119
2013-10-14,163
2013-10-18,101
2013-10-19,70
2013-10-20,160
2013-10-21,171
2013-10-22,171
2013-10-23,172
2013-10-24,55
2013-10-25,177
2013-10-26,243
2013-10-27,4067
2013-10-28,1821
2013-10-29,1127
2013-10-30,305
2013-10-31,106
2013-11-01,89
2013-11-02,87
2013-11-03,50
2013-11-04,123
2013-11-05,40
2013-11-06,33
2013-11-07,44
2013-11-08,92
2013-11-09,63
2013-11-10,204
2013-11-11,163
2013-11-12,64
2013-11-13,115
2013-11-14,135
2013-11-15,27
2013-11-16,74
2013-11-17,24
2013-11-18,156
2013-11-19,181
2013-11-20,122
2013-11-22,259
2013-11-23,287
2013-11-24,96
2013-11-25,71
2013-11-26,58
2013-11-27,38
2013-11-28,202
2013-11-29,312
2013-11-30,461
2013-12-01,237
2013-12-02,117
2013-12-03,42
2013-12-04,263
2013-12-05,354
2013-12-06,187
2013-12-07,186
2013-12-08,35
2013-12-09,86
2013-12-10,107
2013-12-11,94
2013-12-12,66
2013-12-13,59
2013-12-14,59
2013-12-15,31
2013-12-16,24
2013-12-17,59
2013-12-18,77
2013-12-19,49
2013-12-20,2
2013-12-22,3
2013-12-23,191
2013-12-24,54
2013-12-25,27
2013-12-26,46
2013-12-27,40
2014-01-03,21
2014-01-04,31
2014-01-05,38
2014-01-06,90
2014-01-07,58
2014-01-08,75
2014-01-09,76
2014-01-10,110
2014-01-11,238
2014-01-12,186
2014-01-13,160
2014-01-14,118
2014-01-15,476
2014-01-16,100
2014-01-20,76
2014-01-21,178
2014-01-22,62
2014-01-23,86
2014-01-24,716
2014-01-25,68
2014-01-27,122
2014-01-28,108
2014-01-29,460
2014-01-30,300
2014-01-31,432
2014-02-01,340
2014-02-02,588
2014-02-03,172
2014-02-04,81
2014-02-05,918
2014-02-06,1212
2014-02-07,870
2014-02-08,504
2014-02-10,138
2014-02-11,96
