KeyWord,Datetime,Count
Guernsey,2013-09-24,1
Guernsey,2013-09-25,4
Guernsey,2013-09-26,7
Guernsey,2013-09-27,7
Guernsey,2013-09-28,10
Guernsey,2013-09-29,3
Guernsey,2013-09-30,6
Guernsey,2013-10-01,5
Guernsey,2013-10-02,12
Guernsey,2013-10-03,4
Guernsey,2013-10-04,25
Guernsey,2013-10-05,3
Guernsey,2013-10-06,12
Guernsey,2013-10-07,7
Guernsey,2013-10-08,14
Guernsey,2013-10-09,12
Guernsey,2013-10-10,11
Guernsey,2013-10-11,2
Guernsey,2013-10-12,6
Guernsey,2013-10-13,3
Guernsey,2013-10-14,7
Guernsey,2013-10-18,10
Guernsey,2013-10-19,14
Guernsey,2013-10-20,7
Guernsey,2013-10-21,19
Guernsey,2013-10-22,16
Guernsey,2013-10-23,27
Guernsey,2013-10-24,3
Guernsey,2013-10-25,8
Guernsey,2013-10-26,4
Guernsey,2013-10-27,9
Guernsey,2013-10-28,10
Guernsey,2013-10-29,8
Guernsey,2013-10-30,4
Guernsey,2013-10-31,11
Guernsey,2013-11-01,5
Guernsey,2013-11-02,6
Guernsey,2013-11-03,5
Guernsey,2013-11-04,6
Guernsey,2013-11-05,1
Guernsey,2013-11-07,6
Guernsey,2013-11-08,11
Guernsey,2013-11-09,3
Guernsey,2013-11-10,3
Guernsey,2013-11-11,8
Guernsey,2013-11-12,11
Guernsey,2013-11-13,22
Guernsey,2013-11-14,8
Guernsey,2013-11-15,12
Guernsey,2013-11-16,8
Guernsey,2013-11-17,2
Guernsey,2013-11-18,7
Guernsey,2013-11-19,16
Guernsey,2013-11-20,20
Guernsey,2013-11-22,1
Guernsey,2013-11-23,4
Guernsey,2013-11-24,6
Guernsey,2013-11-25,3
Guernsey,2013-11-26,7
Guernsey,2013-11-27,1
Guernsey,2013-11-28,3
Guernsey,2013-11-29,7
Guernsey,2013-11-30,4
Guernsey,2013-12-01,3
Guernsey,2013-12-02,4
Guernsey,2013-12-03,7
Guernsey,2013-12-04,12
Guernsey,2013-12-05,1
Guernsey,2013-12-06,15
Guernsey,2013-12-07,3
Guernsey,2013-12-08,6
Guernsey,2013-12-09,8
Guernsey,2013-12-10,5
Guernsey,2013-12-11,8
Guernsey,2013-12-12,1
Guernsey,2013-12-13,3
Guernsey,2013-12-14,5
Guernsey,2013-12-15,3
Guernsey,2013-12-16,1
Guernsey,2013-12-17,8
Guernsey,2013-12-18,4
Guernsey,2013-12-19,4
Guernsey,2013-12-23,10
Guernsey,2013-12-24,4
Guernsey,2013-12-25,9
Guernsey,2013-12-26,2
Guernsey,2013-12-27,2
Guernsey,2014-01-03,5
Guernsey,2014-01-04,8
Guernsey,2014-01-05,7
Guernsey,2014-01-06,9
Guernsey,2014-01-07,2
Guernsey,2014-01-08,2
