Date,Count
2013-09-24,3
2013-09-25,1
2013-09-26,2
2013-09-28,3
2013-09-30,1
2013-10-01,1
2013-10-03,2
2013-10-04,2
2013-10-05,4
2013-10-06,2
2013-10-07,1
2013-10-08,2
2013-10-09,1
2013-10-10,2
2013-10-11,2
2013-10-12,13
2013-10-14,5
2013-10-19,4
2013-10-20,1
2013-10-21,4
2013-10-22,1
2013-10-23,6
2013-10-24,1
2013-10-25,1
2013-10-26,11
2013-10-27,1
2013-10-28,1
2013-10-29,3
2013-10-31,1
2013-11-02,4
2013-11-03,4
2013-11-04,1
2013-11-05,1
2013-11-06,4
2013-11-07,1
2013-11-08,6
2013-11-09,5
2013-11-13,2
2013-11-14,3
2013-11-15,1
2013-11-18,3
2013-11-19,4
2013-11-20,2
2013-11-24,2
2013-11-25,1
2013-11-27,1
2013-11-28,1
2013-11-29,2
2013-12-01,1
2013-12-03,2
2013-12-04,3
2013-12-05,1
2013-12-08,5
2013-12-09,1
2013-12-10,2
2013-12-12,1
2013-12-13,2
2013-12-15,2
2013-12-16,2
2013-12-18,1
2013-12-19,1
2013-12-23,1
2013-12-26,4
2013-12-27,1
2014-01-03,3
2014-01-04,1
2014-01-10,2
2014-01-16,2
2014-01-20,8
2014-01-21,10
2014-01-22,2
2014-01-23,4
2014-01-24,2
2014-01-28,8
2014-01-29,4
2014-01-31,2
2014-02-01,2
2014-02-03,3
2014-02-04,9
2014-02-05,33
2014-02-07,3
2014-02-08,3
2014-02-10,6
2014-02-13,6
2014-02-14,6
2014-02-15,3
2014-02-16,12
2014-02-19,3
2014-02-21,6
2014-02-23,24
2014-02-24,3
2014-03-03,2
