Date,Count
2013-09-24,1
2013-09-26,3
2013-09-28,2
2013-09-29,1
2013-09-30,2
2013-10-02,2
2013-10-05,1
2013-10-08,23
2013-10-09,1
2013-10-10,11
2013-10-11,5
2013-10-12,3
2013-10-13,2
2013-10-14,7
2013-10-18,2
2013-10-19,8
2013-10-20,2
2013-10-21,67
2013-10-22,23
2013-10-23,11
2013-10-25,2
2013-10-26,2
2013-10-27,3
2013-10-28,1
2013-10-29,1
2013-10-31,3
2013-11-02,4
2013-11-03,5
2013-11-04,26
2013-11-09,1
2013-11-10,3
2013-11-11,2
2013-11-12,2
2013-11-13,2
2013-11-16,3
2013-11-18,1
2013-11-19,6
2013-11-20,8
2013-11-23,5
2013-11-26,1
2013-11-29,5
2013-12-02,1
2013-12-05,1
2013-12-06,1
2013-12-09,1
2013-12-11,2
2013-12-12,3
2013-12-13,1
2013-12-14,1
2013-12-16,2
2013-12-17,23
2013-12-18,2
2013-12-19,4
2013-12-23,17
2013-12-24,2
2013-12-25,4
2013-12-26,6
2013-12-27,3
2014-01-03,18
2014-01-04,7
2014-01-05,25
2014-01-06,66
2014-01-07,149
2014-01-08,44
2014-01-09,120
2014-01-10,90
2014-01-11,16
2014-01-12,14
2014-01-13,22
2014-01-14,4
2014-01-15,18
2014-01-16,2
2014-01-20,14
2014-01-21,28
2014-01-22,12
2014-01-23,6
2014-01-24,6
2014-01-27,2
2014-01-28,6
2014-01-30,4
2014-01-31,4
2014-02-01,8
2014-02-02,4
2014-02-03,5
2014-02-04,24
2014-02-05,6
2014-02-06,3
2014-02-07,210
2014-02-08,273
2014-02-10,21
2014-02-11,9
