KeyWord,Datetime,Count
Harrisburg,2013-09-24,6
Harrisburg,2013-09-25,12
Harrisburg,2013-09-26,26
Harrisburg,2013-09-27,7
Harrisburg,2013-09-28,21
Harrisburg,2013-09-29,18
Harrisburg,2013-09-30,29
Harrisburg,2013-10-01,7
Harrisburg,2013-10-02,19
Harrisburg,2013-10-03,3
Harrisburg,2013-10-04,15
Harrisburg,2013-10-05,24
Harrisburg,2013-10-06,10
Harrisburg,2013-10-07,11
Harrisburg,2013-10-08,14
Harrisburg,2013-10-09,5
Harrisburg,2013-10-10,11
Harrisburg,2013-10-11,17
Harrisburg,2013-10-12,15
Harrisburg,2013-10-13,31
Harrisburg,2013-10-14,5
Harrisburg,2013-10-15,1
Harrisburg,2013-10-18,9
Harrisburg,2013-10-19,17
Harrisburg,2013-10-20,15
Harrisburg,2013-10-21,17
Harrisburg,2013-10-22,6
Harrisburg,2013-10-23,14
Harrisburg,2013-10-24,3
Harrisburg,2013-10-25,12
Harrisburg,2013-10-26,12
Harrisburg,2013-10-27,9
Harrisburg,2013-10-28,11
Harrisburg,2013-10-29,9
Harrisburg,2013-10-30,3
Harrisburg,2013-10-31,6
Harrisburg,2013-11-01,15
Harrisburg,2013-11-02,14
Harrisburg,2013-11-03,10
Harrisburg,2013-11-04,4
Harrisburg,2013-11-05,10
Harrisburg,2013-11-06,14
Harrisburg,2013-11-07,10
Harrisburg,2013-11-08,15
Harrisburg,2013-11-09,12
Harrisburg,2013-11-10,11
Harrisburg,2013-11-11,9
Harrisburg,2013-11-12,10
Harrisburg,2013-11-13,10
Harrisburg,2013-11-14,20
Harrisburg,2013-11-15,9
Harrisburg,2013-11-16,19
Harrisburg,2013-11-17,13
Harrisburg,2013-11-18,27
Harrisburg,2013-11-19,23
Harrisburg,2013-11-20,14
Harrisburg,2013-11-22,2
Harrisburg,2013-11-23,7
Harrisburg,2013-11-24,15
Harrisburg,2013-11-25,4
Harrisburg,2013-11-26,6
Harrisburg,2013-11-27,7
Harrisburg,2013-11-28,2
Harrisburg,2013-11-29,4
Harrisburg,2013-11-30,14
Harrisburg,2013-12-01,7
Harrisburg,2013-12-02,11
Harrisburg,2013-12-03,6
Harrisburg,2013-12-04,27
Harrisburg,2013-12-05,8
Harrisburg,2013-12-06,18
Harrisburg,2013-12-07,11
Harrisburg,2013-12-08,2
Harrisburg,2013-12-09,7
Harrisburg,2013-12-10,6
Harrisburg,2013-12-11,7
Harrisburg,2013-12-12,9
Harrisburg,2013-12-13,12
Harrisburg,2013-12-14,9
Harrisburg,2013-12-15,7
Harrisburg,2013-12-16,11
Harrisburg,2013-12-17,8
Harrisburg,2013-12-18,10
Harrisburg,2013-12-19,16
Harrisburg,2013-12-22,1
Harrisburg,2013-12-23,5
Harrisburg,2013-12-24,8
Harrisburg,2013-12-25,9
Harrisburg,2013-12-26,11
Harrisburg,2013-12-27,3
Harrisburg,2014-01-03,5
Harrisburg,2014-01-04,13
Harrisburg,2014-01-05,11
Harrisburg,2014-01-06,109
Harrisburg,2014-01-07,11
Harrisburg,2014-01-08,5
