Date,Count
2013-09-24,9
2013-09-25,3
2013-09-26,8
2013-09-27,6
2013-09-28,16
2013-09-29,14
2013-09-30,20
2013-10-01,3
2013-10-02,15
2013-10-03,4
2013-10-04,14
2013-10-05,9
2013-10-06,9
2013-10-07,9
2013-10-08,9
2013-10-09,6
2013-10-10,5
2013-10-11,8
2013-10-12,22
2013-10-13,10
2013-10-14,5
2013-10-18,6
2013-10-19,14
2013-10-20,12
2013-10-21,14
2013-10-22,5
2013-10-23,5
2013-10-24,1
2013-10-25,15
2013-10-26,17
2013-10-27,7
2013-10-28,11
2013-10-29,4
2013-10-30,12
2013-10-31,11
2013-11-01,15
2013-11-02,12
2013-11-03,2
2013-11-04,6
2013-11-05,2
2013-11-06,12
2013-11-07,7
2013-11-08,16
2013-11-09,18
2013-11-10,14
2013-11-11,22
2013-11-12,12
2013-11-13,23
2013-11-14,7
2013-11-15,6
2013-11-16,15
2013-11-17,2
2013-11-18,6
2013-11-19,7
2013-11-20,6
2013-11-22,18
2013-11-23,7
2013-11-24,6
2013-11-25,5
2013-11-26,56
2013-11-27,7
2013-11-28,2
2013-11-29,5
2013-11-30,10
2013-12-01,5
2013-12-02,13
2013-12-03,5
2013-12-04,9
2013-12-05,12
2013-12-06,14
2013-12-07,4
2013-12-08,4
2013-12-09,6
2013-12-10,2
2013-12-11,12
2013-12-12,6
2013-12-13,26
2013-12-14,31
2013-12-15,17
2013-12-16,5
2013-12-17,6
2013-12-18,7
2013-12-19,4
2013-12-20,1
2013-12-23,16
2013-12-24,7
2013-12-25,5
2013-12-26,8
2013-12-27,4
2014-01-03,3
2014-01-04,7
2014-01-05,3
2014-01-06,18
2014-01-07,5
2014-01-08,19
2014-01-09,18
2014-01-10,16
2014-01-11,22
2014-01-12,20
2014-01-13,10
2014-01-14,34
2014-01-15,24
2014-01-16,10
2014-01-20,18
2014-01-21,10
2014-01-22,32
2014-01-23,52
2014-01-24,76
2014-01-25,2
2014-01-27,10
2014-01-28,36
2014-01-29,46
2014-01-30,6
2014-01-31,18
2014-02-01,12
2014-02-02,50
2014-02-03,8
2014-02-04,21
2014-02-05,9
2014-02-06,15
2014-02-07,24
2014-02-08,15
2014-02-10,78
2014-02-11,30
