Date,Count
2013-09-24,2
2013-09-26,1
2013-09-28,6
2013-09-29,1
2013-10-03,2
2013-10-05,2
2013-10-06,1
2013-10-08,1
2013-10-09,1
2013-10-10,2
2013-10-11,1
2013-10-12,2
2013-10-13,3
2013-10-19,2
2013-10-20,2
2013-10-22,1
2013-10-23,1
2013-10-26,1
2013-10-28,2
2013-10-30,1
2013-11-01,1
2013-11-02,2
2013-11-04,4
2013-11-05,1
2013-11-07,3
2013-11-09,3
2013-11-10,2
2013-11-11,2
2013-11-12,2
2013-11-14,1
2013-11-15,2
2013-11-18,2
2013-11-20,4
2013-11-22,3
2013-11-24,1
2013-11-26,1
2013-11-27,1
2013-11-28,1
2013-11-30,1
2013-12-02,1
2013-12-08,1
2013-12-11,5
2013-12-12,6
2013-12-13,2
2013-12-15,1
2013-12-16,3
2013-12-17,4
2013-12-18,2
2013-12-19,3
2013-12-23,2
2013-12-24,1
2013-12-25,2
2014-01-03,2
2014-01-04,2
2014-01-05,4
2014-01-06,1
2014-01-07,3
2014-01-08,2
2014-01-09,4
2014-01-10,4
2014-01-11,2
2014-01-12,2
2014-01-13,8
2014-01-14,8
2014-01-15,4
2014-01-16,6
2014-01-21,8
2014-01-22,2
2014-01-24,2
2014-01-27,4
2014-01-28,4
2014-01-30,4
2014-01-31,24
2014-02-01,6
2014-02-02,2
2014-02-03,38
2014-02-04,6
2014-02-05,1
2014-02-06,4
2014-02-07,3
2014-02-08,2
2014-02-11,2
