Date,Count
2013-09-24,241
2013-09-25,768
2013-09-26,503
2013-09-27,831
2013-09-28,1039
2013-09-29,741
2013-09-30,846
2013-10-01,459
2013-10-02,1331
2013-10-03,433
2013-10-04,503
2013-10-05,898
2013-10-06,1055
2013-10-07,1229
2013-10-08,776
2013-10-09,646
2013-10-10,625
2013-10-11,715
2013-10-12,656
2013-10-13,731
2013-10-14,603
2013-10-15,10
2013-10-18,629
2013-10-19,827
2013-10-20,557
2013-10-21,709
2013-10-22,1855
2013-10-23,2507
2013-10-24,370
2013-10-25,955
2013-10-26,984
2013-10-27,740
2013-10-28,547
2013-10-29,611
2013-10-30,796
2013-10-31,751
2013-11-01,728
2013-11-02,603
2013-11-03,680
2013-11-04,541
2013-11-05,438
2013-11-06,1563
2013-11-07,1185
2013-11-08,871
2013-11-09,1073
2013-11-10,905
2013-11-11,712
2013-11-12,652
2013-11-13,1768
2013-11-14,941
2013-11-15,635
2013-11-16,1632
2013-11-17,689
2013-11-18,1613
2013-11-19,1567
2013-11-20,1852
2013-11-22,383
2013-11-23,1459
2013-11-24,738
2013-11-25,1327
2013-11-26,1032
2013-11-27,360
2013-11-28,777
2013-11-29,584
2013-11-30,1295
2013-12-01,762
2013-12-02,1861
2013-12-03,1025
2013-12-04,1133
2013-12-05,1311
2013-12-06,2063
2013-12-07,788
2013-12-08,643
2013-12-09,449
2013-12-10,1165
2013-12-11,921
2013-12-12,2994
2013-12-13,10881
2013-12-14,2594
2013-12-15,731
2013-12-16,665
2013-12-17,867
2013-12-18,507
2013-12-19,596
2013-12-20,14
2013-12-22,32
2013-12-23,793
2013-12-24,690
2013-12-25,313
2013-12-26,465
2013-12-27,271
2014-01-03,429
2014-01-04,568
2014-01-05,848
2014-01-06,609
2014-01-07,848
2014-01-08,1224
2014-01-09,1742
2014-01-10,1874
2014-01-11,1690
2014-01-12,1428
2014-01-13,1190
2014-01-14,2872
2014-01-15,1956
2014-01-16,1976
2014-01-20,3028
2014-01-21,3058
2014-01-22,2724
2014-01-23,2398
2014-01-24,1420
2014-01-25,240
2014-01-27,1092
2014-01-28,2446
2014-01-29,1728
2014-01-30,1706
2014-01-31,2838
2014-02-01,2672
2014-02-02,1222
2014-02-03,1903
2014-02-04,2562
2014-02-05,1992
2014-02-06,3684
2014-02-07,2760
2014-02-08,1227
2014-02-10,1338
2014-02-11,573
2014-02-12,856
2014-02-13,2039
2014-02-14,582
2014-02-15,1315
2014-02-16,1467
2014-02-17,136
2014-02-19,70
2014-02-20,1210
2014-02-21,1357
2014-02-22,1874
2014-02-23,1139
2014-02-24,729
