Date,Count
2013-09-24,8
2013-09-25,5
2013-09-26,9
2013-09-27,7
2013-09-28,13
2013-09-29,5
2013-09-30,7
2013-10-01,4
2013-10-02,23
2013-10-03,6
2013-10-04,51
2013-10-05,88
2013-10-06,14
2013-10-07,17
2013-10-08,8
2013-10-09,6
2013-10-10,12
2013-10-11,19
2013-10-12,8
2013-10-13,8
2013-10-14,7
2013-10-18,13
2013-10-19,8
2013-10-20,16
2013-10-21,13
2013-10-22,6
2013-10-23,5
2013-10-24,2
2013-10-25,3
2013-10-26,8
2013-10-27,3
2013-10-28,5
2013-10-29,4
2013-10-30,3
2013-10-31,5
2013-11-01,5
2013-11-02,13
2013-11-03,4
2013-11-04,17
2013-11-05,12
2013-11-06,7
2013-11-07,3
2013-11-08,7
2013-11-09,9
2013-11-10,1
2013-11-11,6
2013-11-12,5
2013-11-13,26
2013-11-14,3
2013-11-15,5
2013-11-16,6
2013-11-17,70
2013-11-18,12
2013-11-19,9
2013-11-20,12
2013-11-22,5
2013-11-23,3
2013-11-24,7
2013-11-25,10
2013-11-26,20
2013-11-27,14
2013-11-28,1
2013-11-29,2
2013-11-30,5
2013-12-01,5
2013-12-02,2
2013-12-03,3
2013-12-05,5
2013-12-06,8
2013-12-07,5
2013-12-08,4
2013-12-09,13
2013-12-10,6
2013-12-11,2
2013-12-12,2
2013-12-13,4
2013-12-14,2
2013-12-15,3
2013-12-16,4
2013-12-17,3
2013-12-18,8
2013-12-19,3
2013-12-23,5
2013-12-24,3
2013-12-25,5
2013-12-26,2
2014-01-03,4
2014-01-04,4
2014-01-05,9
2014-01-06,12
2014-01-07,6
2014-01-08,5
2014-01-09,20
2014-01-10,32
2014-01-11,22
2014-01-12,8
2014-01-13,10
2014-01-14,14
2014-01-15,14
2014-01-16,4
2014-01-20,18
2014-01-21,30
2014-01-22,12
2014-01-23,6
2014-01-25,2
2014-01-27,6
2014-01-28,8
2014-01-29,10
2014-01-30,26
2014-01-31,10
2014-02-01,12
2014-02-02,6
2014-02-03,30
2014-02-04,9
2014-02-05,9
2014-02-06,24
2014-02-07,33
2014-02-08,9
2014-02-10,15
2014-02-11,3
2014-02-12,21
2014-02-13,15
2014-02-14,156
2014-02-15,48
2014-02-16,27
2014-02-17,6
2014-02-20,21
2014-02-21,12
2014-02-22,39
2014-02-23,9
2014-02-24,3
2014-03-03,6
2014-03-04,16
