Date,Count
2013-09-24,1
2013-09-25,4
2013-09-26,1
2013-09-27,7
2013-09-28,7
2013-09-30,2
2013-10-01,3
2013-10-02,5
2013-10-03,1
2013-10-04,8
2013-10-05,8
2013-10-06,3
2013-10-07,2
2013-10-08,5
2013-10-09,4
2013-10-10,1
2013-10-11,2
2013-10-12,8
2013-10-13,1
2013-10-14,7
2013-10-18,3
2013-10-19,6
2013-10-20,9
2013-10-21,4
2013-10-22,1
2013-10-23,7
2013-10-24,2
2013-10-26,6
2013-10-27,2
2013-10-28,5
2013-10-29,11
2013-10-30,10
2013-10-31,2
2013-11-01,4
2013-11-02,1
2013-11-03,32
2013-11-04,4
2013-11-06,2
2013-11-07,5
2013-11-08,3
2013-11-09,4
2013-11-10,3
2013-11-11,2
2013-11-12,4
2013-11-13,3
2013-11-14,3
2013-11-15,5
2013-11-16,33
2013-11-17,9
2013-11-18,1
2013-11-20,4
2013-11-22,2
2013-11-23,3
2013-11-24,8
2013-11-25,2
2013-11-26,2
2013-11-27,3
2013-11-28,3
2013-11-29,1
2013-11-30,5
2013-12-03,2
2013-12-05,2
2013-12-06,15
2013-12-07,5
2013-12-08,1
2013-12-09,4
2013-12-10,4
2013-12-11,6
2013-12-12,2
2013-12-13,11
2013-12-14,18
2013-12-15,24
2013-12-16,2
2013-12-17,10
2013-12-19,1
2013-12-23,5
2013-12-24,1
2013-12-25,3
2014-01-03,2
2014-01-04,6
2014-01-05,5
2014-01-06,8
2014-01-07,2
2014-01-08,4
2014-01-09,12
2014-01-10,10
2014-01-11,10
2014-01-12,10
2014-01-13,4
2014-01-14,4
2014-01-15,12
2014-01-16,10
2014-01-20,2
2014-01-21,8
2014-01-22,14
2014-01-23,10
2014-01-24,10
2014-01-25,2
2014-01-27,22
2014-01-28,166
2014-01-29,16
2014-01-30,8
2014-01-31,14
2014-02-01,12
2014-02-02,6
2014-02-03,17
2014-02-04,9
2014-02-05,6
2014-02-06,174
2014-02-07,33
2014-02-08,9
2014-02-10,12
2014-02-11,3
