KeyWord,Datetime,Count
Karachi,2013-09-24,9
Karachi,2013-09-25,21
Karachi,2013-09-26,57
Karachi,2013-09-27,10
Karachi,2013-09-28,32
Karachi,2013-09-29,28
Karachi,2013-09-30,36
Karachi,2013-10-01,6
Karachi,2013-10-02,68
Karachi,2013-10-03,12
Karachi,2013-10-04,46
Karachi,2013-10-05,44
Karachi,2013-10-06,26
Karachi,2013-10-07,23
Karachi,2013-10-08,36
Karachi,2013-10-09,15
Karachi,2013-10-10,34
Karachi,2013-10-11,21
Karachi,2013-10-12,30
Karachi,2013-10-13,38
Karachi,2013-10-14,28
Karachi,2013-10-18,43
Karachi,2013-10-19,25
Karachi,2013-10-20,26
Karachi,2013-10-21,38
Karachi,2013-10-22,32
Karachi,2013-10-23,25
Karachi,2013-10-24,2
Karachi,2013-10-25,12
Karachi,2013-10-26,17
Karachi,2013-10-27,82
Karachi,2013-10-28,36
Karachi,2013-10-29,18
Karachi,2013-10-30,57
Karachi,2013-10-31,29
Karachi,2013-11-01,39
Karachi,2013-11-02,28
Karachi,2013-11-03,26
Karachi,2013-11-04,18
Karachi,2013-11-05,4
Karachi,2013-11-06,41
Karachi,2013-11-07,35
Karachi,2013-11-08,93
Karachi,2013-11-09,13
Karachi,2013-11-10,11
Karachi,2013-11-11,16
Karachi,2013-11-12,51
Karachi,2013-11-13,77
Karachi,2013-11-14,44
Karachi,2013-11-15,22
Karachi,2013-11-16,24
Karachi,2013-11-17,39
Karachi,2013-11-18,71
Karachi,2013-11-19,55
Karachi,2013-11-20,34
Karachi,2013-11-22,21
Karachi,2013-11-23,59
Karachi,2013-11-24,101
Karachi,2013-11-25,27
Karachi,2013-11-26,31
Karachi,2013-11-27,6
Karachi,2013-11-28,46
Karachi,2013-11-29,22
Karachi,2013-11-30,27
Karachi,2013-12-01,40
Karachi,2013-12-02,38
Karachi,2013-12-03,34
Karachi,2013-12-04,66
Karachi,2013-12-05,32
Karachi,2013-12-06,36
Karachi,2013-12-07,19
Karachi,2013-12-08,31
Karachi,2013-12-09,38
Karachi,2013-12-10,51
Karachi,2013-12-11,34
Karachi,2013-12-12,7
Karachi,2013-12-13,104
Karachi,2013-12-14,41
Karachi,2013-12-15,46
Karachi,2013-12-16,46
Karachi,2013-12-17,86
Karachi,2013-12-18,28
Karachi,2013-12-19,60
Karachi,2013-12-22,1
Karachi,2013-12-23,37
Karachi,2013-12-24,52
Karachi,2013-12-25,38
Karachi,2013-12-26,30
Karachi,2013-12-27,19
Karachi,2014-01-03,12
Karachi,2014-01-04,41
Karachi,2014-01-05,703
Karachi,2014-01-06,41
Karachi,2014-01-07,107
Karachi,2014-01-08,80
