Date,Count
2013-09-25,308
2013-09-26,89
2013-09-27,83
2013-09-28,28
2013-09-29,3
2013-09-30,12
2013-10-01,2
2013-10-02,3
2013-10-03,14
2013-10-04,18
2013-10-05,3
2013-10-06,10
2013-10-07,2
2013-10-09,1
2013-10-10,2
2013-10-12,1
2013-10-18,1
2013-10-19,1
2013-10-20,4
2013-10-21,1
2013-10-25,1
2013-10-28,2
2013-11-01,2
2013-11-03,7
2013-11-04,8
2013-11-06,2
2013-11-07,2
2013-11-19,1
2013-12-01,3
2013-12-02,11
2013-12-04,1
2013-12-05,1
2013-12-06,1
2013-12-07,1
2013-12-09,1
2013-12-12,1
2013-12-14,2
2013-12-15,1
2013-12-23,1
2013-12-24,1
2014-01-05,1
2014-01-06,1
2014-01-09,2
2014-01-10,2
2014-01-14,6
2014-01-20,6
2014-01-21,38
2014-01-23,2
2014-01-29,4
2014-02-03,2
2014-02-06,24
2014-02-08,3
2014-02-10,9
2014-02-12,3
2014-02-20,3
2014-02-22,3
2014-03-04,6
