Date,Count
2013-09-24,1
2013-09-25,3
2013-09-28,3
2013-09-29,3
2013-09-30,4
2013-10-02,7
2013-10-03,1
2013-10-04,1
2013-10-05,6
2013-10-06,3
2013-10-07,4
2013-10-08,2
2013-10-09,3
2013-10-10,4
2013-10-11,5
2013-10-12,6
2013-10-13,3
2013-10-14,1
2013-10-18,1
2013-10-19,3
2013-10-20,5
2013-10-21,7
2013-10-22,44
2013-10-23,13
2013-10-24,14
2013-10-25,2
2013-10-26,11
2013-10-27,7
2013-10-28,7
2013-10-29,2
2013-10-30,1
2013-10-31,1
2013-11-01,3
2013-11-02,11
2013-11-03,5
2013-11-04,3
2013-11-06,2
2013-11-07,1
2013-11-08,8
2013-11-09,6
2013-11-11,1
2013-11-12,4
2013-11-13,2
2013-11-14,8
2013-11-15,2
2013-11-16,11
2013-11-17,17
2013-11-18,1
2013-11-19,26
2013-11-20,4
2013-11-23,3
2013-11-24,1
2013-11-25,2
2013-11-26,1
2013-11-27,1
2013-11-28,3
2013-11-30,5
2013-12-01,1
2013-12-02,4
2013-12-05,5
2013-12-06,6
2013-12-07,1
2013-12-09,2
2013-12-10,4
2013-12-11,3
2013-12-12,1
2013-12-13,5
2013-12-14,4
2013-12-15,7
2013-12-16,1
2013-12-17,9
2013-12-18,1
2013-12-23,1
2013-12-24,3
2013-12-25,2
2013-12-26,4
2013-12-27,4
2014-01-03,1
2014-01-04,1
2014-01-05,3
2014-01-06,3
2014-01-07,4
2014-01-08,2
2014-01-09,24
2014-01-12,2
2014-01-13,6
2014-01-14,8
2014-01-15,12
2014-01-16,2
2014-01-20,6
2014-01-21,50
2014-01-22,8
2014-01-23,16
2014-01-24,4
2014-01-25,2
2014-01-27,6
2014-01-28,4
2014-01-29,4
2014-01-31,10
2014-02-01,4
2014-02-02,52
2014-02-04,3
2014-02-05,6
2014-02-07,9
2014-02-08,3
2014-02-10,12
2014-02-11,30
