KeyWord,Datetime,Count
Lahore,2013-09-24,4
Lahore,2013-09-25,16
Lahore,2013-09-26,10
Lahore,2013-09-27,7
Lahore,2013-09-28,19
Lahore,2013-09-29,181
Lahore,2013-09-30,41
Lahore,2013-10-01,4
Lahore,2013-10-02,10
Lahore,2013-10-03,10
Lahore,2013-10-04,53
Lahore,2013-10-05,14
Lahore,2013-10-06,16
Lahore,2013-10-07,21
Lahore,2013-10-08,10
Lahore,2013-10-09,16
Lahore,2013-10-10,19
Lahore,2013-10-11,70
Lahore,2013-10-12,28
Lahore,2013-10-13,5
Lahore,2013-10-14,11
Lahore,2013-10-18,12
Lahore,2013-10-19,13
Lahore,2013-10-20,11
Lahore,2013-10-21,14
Lahore,2013-10-22,16
Lahore,2013-10-23,12
Lahore,2013-10-24,2
Lahore,2013-10-25,19
Lahore,2013-10-26,24
Lahore,2013-10-27,16
Lahore,2013-10-28,14
Lahore,2013-10-29,12
Lahore,2013-10-30,23
Lahore,2013-10-31,31
Lahore,2013-11-01,5
Lahore,2013-11-02,9
Lahore,2013-11-03,23
Lahore,2013-11-04,38
Lahore,2013-11-05,2
Lahore,2013-11-06,41
Lahore,2013-11-07,25
Lahore,2013-11-08,11
Lahore,2013-11-09,6
Lahore,2013-11-10,4
Lahore,2013-11-11,11
Lahore,2013-11-12,19
Lahore,2013-11-13,9
Lahore,2013-11-14,6
Lahore,2013-11-15,15
Lahore,2013-11-16,83
Lahore,2013-11-17,31
Lahore,2013-11-18,12
Lahore,2013-11-19,33
Lahore,2013-11-20,52
Lahore,2013-11-22,3
Lahore,2013-11-23,41
Lahore,2013-11-24,8
Lahore,2013-11-25,15
Lahore,2013-11-26,35
Lahore,2013-11-27,8
Lahore,2013-11-28,31
Lahore,2013-11-29,18
Lahore,2013-11-30,21
Lahore,2013-12-01,34
Lahore,2013-12-02,45
Lahore,2013-12-03,17
Lahore,2013-12-04,17
Lahore,2013-12-05,17
Lahore,2013-12-06,16
Lahore,2013-12-07,13
Lahore,2013-12-08,12
Lahore,2013-12-09,18
Lahore,2013-12-10,22
Lahore,2013-12-11,11
Lahore,2013-12-12,10
Lahore,2013-12-13,116
Lahore,2013-12-14,49
Lahore,2013-12-15,66
Lahore,2013-12-16,120
Lahore,2013-12-17,125
Lahore,2013-12-18,44
Lahore,2013-12-19,45
Lahore,2013-12-23,68
Lahore,2013-12-24,38
Lahore,2013-12-25,55
Lahore,2013-12-26,58
Lahore,2013-12-27,17
Lahore,2014-01-03,12
Lahore,2014-01-04,16
Lahore,2014-01-05,14
Lahore,2014-01-06,52
Lahore,2014-01-07,19
Lahore,2014-01-08,12
