KeyWord,Datetime,Count
Lanzarote,2013-09-24,3
Lanzarote,2013-09-25,8
Lanzarote,2013-09-26,5
Lanzarote,2013-09-27,3
Lanzarote,2013-09-28,3
Lanzarote,2013-09-29,3
Lanzarote,2013-09-30,5
Lanzarote,2013-10-01,7
Lanzarote,2013-10-02,6
Lanzarote,2013-10-04,9
Lanzarote,2013-10-05,4
Lanzarote,2013-10-06,1
Lanzarote,2013-10-07,7
Lanzarote,2013-10-08,11
Lanzarote,2013-10-09,3
Lanzarote,2013-10-10,12
Lanzarote,2013-10-11,2
Lanzarote,2013-10-12,4
Lanzarote,2013-10-13,4
Lanzarote,2013-10-14,8
Lanzarote,2013-10-18,7
Lanzarote,2013-10-19,11
Lanzarote,2013-10-20,7
Lanzarote,2013-10-21,2
Lanzarote,2013-10-22,6
Lanzarote,2013-10-23,5
Lanzarote,2013-10-24,2
Lanzarote,2013-10-25,7
Lanzarote,2013-10-26,4
Lanzarote,2013-10-27,3
Lanzarote,2013-10-28,6
Lanzarote,2013-10-29,5
Lanzarote,2013-10-30,2
Lanzarote,2013-10-31,6
Lanzarote,2013-11-01,1
Lanzarote,2013-11-02,2
Lanzarote,2013-11-03,2
Lanzarote,2013-11-04,4
Lanzarote,2013-11-05,2
Lanzarote,2013-11-06,3
Lanzarote,2013-11-07,2
Lanzarote,2013-11-08,2
Lanzarote,2013-11-09,5
Lanzarote,2013-11-10,4
Lanzarote,2013-11-11,5
Lanzarote,2013-11-12,9
Lanzarote,2013-11-13,4
Lanzarote,2013-11-14,15
Lanzarote,2013-11-15,6
Lanzarote,2013-11-16,3
Lanzarote,2013-11-17,13
Lanzarote,2013-11-18,7
Lanzarote,2013-11-19,5
Lanzarote,2013-11-20,18
Lanzarote,2013-11-22,2
Lanzarote,2013-11-23,7
Lanzarote,2013-11-24,3
Lanzarote,2013-11-25,5
Lanzarote,2013-11-26,6
Lanzarote,2013-11-27,4
Lanzarote,2013-11-28,2
Lanzarote,2013-11-29,8
Lanzarote,2013-11-30,5
Lanzarote,2013-12-01,3
Lanzarote,2013-12-02,2
Lanzarote,2013-12-03,11
Lanzarote,2013-12-04,1
Lanzarote,2013-12-05,14
Lanzarote,2013-12-06,4
Lanzarote,2013-12-07,5
Lanzarote,2013-12-08,4
Lanzarote,2013-12-09,1
Lanzarote,2013-12-11,3
Lanzarote,2013-12-12,15
Lanzarote,2013-12-13,21
Lanzarote,2013-12-14,37
Lanzarote,2013-12-15,18
Lanzarote,2013-12-16,21
Lanzarote,2013-12-17,33
Lanzarote,2013-12-18,17
Lanzarote,2013-12-19,9
Lanzarote,2013-12-22,1
Lanzarote,2013-12-23,22
Lanzarote,2013-12-24,5
Lanzarote,2013-12-25,3
Lanzarote,2013-12-26,9
Lanzarote,2013-12-27,3
Lanzarote,2014-01-03,3
Lanzarote,2014-01-04,4
Lanzarote,2014-01-05,3
Lanzarote,2014-01-06,1
Lanzarote,2014-01-07,8
Lanzarote,2014-01-08,5
