Date,Count
2013-09-24,1
2013-09-25,40
2013-09-26,13
2013-09-27,1
2013-09-28,6
2013-09-29,4
2013-09-30,19
2013-10-01,3
2013-10-02,2
2013-10-03,11
2013-10-04,2
2013-10-05,9
2013-10-06,5
2013-10-07,7
2013-10-08,10
2013-10-09,4
2013-10-10,3
2013-10-11,10
2013-10-12,2
2013-10-13,3
2013-10-14,15
2013-10-18,4
2013-10-19,3
2013-10-20,15
2013-10-21,14
2013-10-22,10
2013-10-23,8
2013-10-25,12
2013-10-26,11
2013-10-27,4
2013-10-28,5
2013-10-29,6
2013-10-30,9
2013-10-31,23
2013-11-01,23
2013-11-02,12
2013-11-03,5
2013-11-04,7
2013-11-05,8
2013-11-06,9
2013-11-07,10
2013-11-08,1
2013-11-09,19
2013-11-10,5
2013-11-11,53
2013-11-12,84
2013-11-13,6
2013-11-14,16
2013-11-15,31
2013-11-16,15
2013-11-17,5
2013-11-18,139
2013-11-19,96
2013-11-20,26
2013-11-22,30
2013-11-23,144
2013-11-24,11
2013-11-25,5
2013-11-26,8
2013-11-27,10
2013-11-28,5
2013-11-29,8
2013-11-30,7
2013-12-01,3
2013-12-02,2
2013-12-03,3
2013-12-04,13
2013-12-05,6
2013-12-06,10
2013-12-07,4
2013-12-08,4
2013-12-09,3
2013-12-10,47
2013-12-11,3
2013-12-12,3
2013-12-13,11
2013-12-14,2
2013-12-15,2
2013-12-17,6
2013-12-18,8
2013-12-19,53
2013-12-20,1
2013-12-23,5
2013-12-24,4
2013-12-25,6
2013-12-26,2
2013-12-27,3
2014-01-03,94
2014-01-04,11
2014-01-05,8
2014-01-06,3
2014-01-07,12
2014-01-08,10
2014-01-09,26
2014-01-10,22
2014-01-11,16
2014-01-12,6
2014-01-13,20
2014-01-14,6
2014-01-15,24
2014-01-16,14
2014-01-20,2
2014-01-21,30
2014-01-22,108
2014-01-23,48
2014-01-24,58
2014-01-25,56
2014-01-27,52
2014-01-28,94
2014-01-29,214
2014-01-30,66
2014-01-31,62
2014-02-01,52
2014-02-02,28
2014-02-03,26
2014-02-04,51
2014-02-05,30
2014-02-06,135
2014-02-07,348
2014-02-08,1143
2014-02-10,129
2014-02-11,48
2014-02-12,85
2014-02-13,24
2014-02-14,98
2014-02-15,155
2014-02-16,15
2014-02-17,2
2014-02-19,9
2014-02-20,24
2014-02-21,22
2014-02-22,14
2014-02-23,25
2014-02-24,3
