Date,Count
2013-09-24,1
2013-09-25,1
2013-09-26,1
2013-09-28,1
2013-09-29,1
2013-09-30,4
2013-10-02,1
2013-10-04,1
2013-10-08,1
2013-10-09,3
2013-10-13,1
2013-10-14,1
2013-10-18,3
2013-10-21,1
2013-10-26,1
2013-10-29,2
2013-11-04,1
2013-11-06,1
2013-11-07,1
2013-11-12,1
2013-11-15,1
2013-11-17,2
2013-11-18,1
2013-11-19,2
2013-11-24,14
2013-11-25,11
2013-11-26,5
2013-11-27,2
2013-11-28,1
2013-11-29,4
2013-12-01,27
2013-12-02,4
2013-12-03,2
2013-12-05,11
2013-12-06,6
2013-12-08,1
2013-12-09,5
2013-12-10,1
2013-12-12,3
2013-12-13,1
2013-12-18,1
2013-12-26,28
2014-01-04,1
2014-01-05,1
2014-01-08,2
2014-01-10,2
2014-01-11,2
2014-01-14,2
2014-01-16,2
2014-01-20,8
2014-01-21,4
2014-01-22,6
2014-01-23,274
2014-01-24,138
2014-01-25,2
2014-01-27,16
2014-01-28,4
2014-02-01,2
2014-02-02,18
2014-02-03,12
2014-02-04,3
2014-02-05,3
2014-02-06,6
2014-02-07,3
2014-02-08,6
2014-02-10,6
2014-02-13,1
2014-02-16,3
2014-02-19,25
2014-02-20,3
2014-02-21,101
2014-02-22,8
2014-02-23,7
2014-02-24,1
