Date,Count
2013-09-24,12
2013-09-25,19
2013-09-26,30
2013-09-27,14
2013-09-28,30
2013-09-29,36
2013-09-30,18
2013-10-01,7
2013-10-02,22
2013-10-03,12
2013-10-04,16
2013-10-05,16
2013-10-06,49
2013-10-07,19
2013-10-08,14
2013-10-09,13
2013-10-10,46
2013-10-11,43
2013-10-12,37
2013-10-13,11
2013-10-14,25
2013-10-15,1
2013-10-18,44
2013-10-19,26
2013-10-20,27
2013-10-21,16
2013-10-22,24
2013-10-23,21
2013-10-24,11
2013-10-25,14
2013-10-26,13
2013-10-27,42
2013-10-28,38
2013-10-29,50
2013-10-30,50
2013-10-31,59
2013-11-01,100
2013-11-02,72
2013-11-03,72
2013-11-04,123
2013-11-05,8
2013-11-06,72
2013-11-07,79
2013-11-08,85
2013-11-09,57
2013-11-10,32
2013-11-11,105
2013-11-12,199
2013-11-13,108
2013-11-14,123
2013-11-15,71
2013-11-16,75
2013-11-17,29
2013-11-18,68
2013-11-19,109
2013-11-20,136
2013-11-22,17
2013-11-23,487
2013-11-24,33
2013-11-25,242
2013-11-26,65
2013-11-27,49
2013-11-28,57
2013-11-29,27
2013-11-30,40
2013-12-01,29
2013-12-02,26
2013-12-03,21
2013-12-04,11
2013-12-05,15
2013-12-06,31
2013-12-07,21
2013-12-08,23
2013-12-09,24
2013-12-10,22
2013-12-11,21
2013-12-12,5
2013-12-13,16
2013-12-14,36
2013-12-15,82
2013-12-16,30
2013-12-17,40
2013-12-18,23
2013-12-19,19
2013-12-20,2
2013-12-23,13
2013-12-24,12
2013-12-25,6
2013-12-26,11
2013-12-27,7
2014-01-03,6
2014-01-04,14
2014-01-05,190
2014-01-06,50
2014-01-07,26
2014-01-08,16
2014-01-09,36
2014-01-10,60
2014-01-11,40
2014-01-12,32
2014-01-13,38
2014-01-14,18
2014-01-15,44
2014-01-16,68
2014-01-20,50
2014-01-21,38
2014-01-22,266
2014-01-23,76
2014-01-24,44
2014-01-25,22
2014-01-27,102
2014-01-28,60
2014-01-29,34
2014-01-30,130
2014-01-31,34
2014-02-01,30
2014-02-02,60
2014-02-03,121
2014-02-04,42
2014-02-05,111
2014-02-06,51
2014-02-07,66
2014-02-08,12
2014-02-10,51
2014-02-11,39
2014-02-12,14
2014-02-13,98
2014-02-14,239
2014-02-15,110
2014-02-16,96
2014-02-17,9
2014-02-19,2
2014-02-20,22
2014-02-21,44
2014-02-22,26
2014-02-23,21
2014-02-24,5
