Date,Count
2013-09-24,49
2013-09-25,124
2013-09-26,89
2013-09-27,41
2013-09-28,78
2013-09-29,74
2013-09-30,72
2013-10-01,82
2013-10-02,87
2013-10-03,28
2013-10-04,63
2013-10-05,123
2013-10-06,118
2013-10-07,66
2013-10-08,346
2013-10-09,114
2013-10-10,141
2013-10-11,272
2013-10-12,123
2013-10-13,57
2013-10-14,95
2013-10-15,4
2013-10-18,100
2013-10-19,192
2013-10-20,104
2013-10-21,188
2013-10-22,133
2013-10-23,107
2013-10-24,61
2013-10-25,101
2013-10-26,63
2013-10-27,86
2013-10-28,84
2013-10-29,60
2013-10-30,84
2013-10-31,91
2013-11-01,96
2013-11-02,91
2013-11-03,65
2013-11-04,60
2013-11-05,12
2013-11-06,58
2013-11-07,82
2013-11-08,113
2013-11-09,137
2013-11-10,97
2013-11-11,60
2013-11-12,149
2013-11-13,139
2013-11-14,94
2013-11-15,108
2013-11-16,227
2013-11-17,82
2013-11-18,92
2013-11-19,305
2013-11-20,388
2013-11-22,26
2013-11-23,96
2013-11-24,69
2013-11-25,68
2013-11-26,91
2013-11-27,27
2013-11-28,50
2013-11-29,107
2013-11-30,225
2013-12-01,92
2013-12-02,131
2013-12-03,53
2013-12-04,92
2013-12-05,173
2013-12-06,247
2013-12-07,85
2013-12-08,60
2013-12-09,282
2013-12-10,89
2013-12-11,298
2013-12-12,174
2013-12-13,83
2013-12-14,108
2013-12-15,128
2013-12-16,99
2013-12-17,89
2013-12-18,173
2013-12-19,122
2013-12-20,4
2013-12-22,19
2013-12-23,356
2013-12-24,84
2013-12-25,92
2013-12-26,126
2013-12-27,104
2014-01-03,50
2014-01-04,429
2014-01-05,97
2014-01-06,87
2014-01-07,93
2014-01-08,81
2014-02-03,102
2014-02-04,183
2014-02-05,177
2014-02-06,414
2014-02-07,540
2014-02-08,420
2014-02-10,111
2014-02-11,537
2014-02-12,102
2014-02-13,152
2014-02-14,128
2014-02-15,185
2014-02-16,141
2014-02-17,93
2014-02-19,1
2014-02-20,138
2014-02-21,120
2014-02-22,135
2014-02-23,119
2014-02-24,26
