KeyWord,Datetime,Count
Mexico,2013-09-24,359
Mexico,2013-09-25,470
Mexico,2013-09-26,557
Mexico,2013-09-27,450
Mexico,2013-09-28,541
Mexico,2013-09-29,463
Mexico,2013-09-30,528
Mexico,2013-10-01,269
Mexico,2013-10-02,594
Mexico,2013-10-03,296
Mexico,2013-10-04,292
Mexico,2013-10-05,491
Mexico,2013-10-06,433
Mexico,2013-10-07,722
Mexico,2013-10-08,454
Mexico,2013-10-09,388
Mexico,2013-10-10,487
Mexico,2013-10-11,2599
Mexico,2013-10-12,1698
Mexico,2013-10-13,642
Mexico,2013-10-14,1206
Mexico,2013-10-15,41
Mexico,2013-10-18,710
Mexico,2013-10-19,1020
Mexico,2013-10-20,862
Mexico,2013-10-21,1079
Mexico,2013-10-22,926
Mexico,2013-10-23,970
Mexico,2013-10-24,149
Mexico,2013-10-25,1485
Mexico,2013-10-26,929
Mexico,2013-10-27,953
Mexico,2013-10-28,1075
Mexico,2013-10-29,718
Mexico,2013-10-30,1366
Mexico,2013-10-31,1025
Mexico,2013-11-01,944
Mexico,2013-11-02,979
Mexico,2013-11-03,561
Mexico,2013-11-04,534
Mexico,2013-11-05,280
Mexico,2013-11-06,3208
Mexico,2013-11-07,1671
Mexico,2013-11-08,6512
Mexico,2013-11-09,6106
Mexico,2013-11-10,1429
Mexico,2013-11-11,1838
Mexico,2013-11-12,1294
Mexico,2013-11-13,7277
Mexico,2013-11-14,2189
Mexico,2013-11-15,912
Mexico,2013-11-16,1582
Mexico,2013-11-17,1082
Mexico,2013-11-18,6676
Mexico,2013-11-19,30363
Mexico,2013-11-20,11934
Mexico,2013-11-22,447
Mexico,2013-11-23,1416
Mexico,2013-11-24,722
Mexico,2013-11-25,667
Mexico,2013-11-26,593
Mexico,2013-11-27,441
Mexico,2013-11-28,415
Mexico,2013-11-29,606
Mexico,2013-11-30,689
Mexico,2013-12-01,793
Mexico,2013-12-02,1025
Mexico,2013-12-03,353
Mexico,2013-12-04,779
Mexico,2013-12-05,1433
Mexico,2013-12-06,886
Mexico,2013-12-07,601
Mexico,2013-12-08,932
Mexico,2013-12-09,1761
Mexico,2013-12-10,1302
Mexico,2013-12-11,1026
Mexico,2013-12-12,926
Mexico,2013-12-13,922
Mexico,2013-12-14,773
Mexico,2013-12-15,543
Mexico,2013-12-16,475
Mexico,2013-12-17,613
Mexico,2013-12-18,1179
Mexico,2013-12-19,1674
Mexico,2013-12-20,66
Mexico,2013-12-22,25
Mexico,2013-12-23,693
Mexico,2013-12-24,362
Mexico,2013-12-25,491
Mexico,2013-12-26,474
Mexico,2013-12-27,235
Mexico,2014-01-03,305
Mexico,2014-01-04,587
Mexico,2014-01-05,465
Mexico,2014-01-06,487
Mexico,2014-01-07,480
Mexico,2014-01-08,722
