Date,Count
2013-09-25,12
2013-09-26,4
2013-09-27,7
2013-09-28,4
2013-09-29,6
2013-09-30,8
2013-10-01,1
2013-10-02,14
2013-10-03,95
2013-10-04,28
2013-10-05,91
2013-10-06,163
2013-10-07,170
2013-10-08,74
2013-10-09,54
2013-10-10,167
2013-10-11,467
2013-10-12,435
2013-10-13,96
2013-10-14,87
2013-10-15,1
2013-10-18,5
2013-10-19,5
2013-10-20,10
2013-10-21,9
2013-10-22,12
2013-10-23,2
2013-10-24,3
2013-10-25,7
2013-10-26,12
2013-10-27,3
2013-10-28,4
2013-10-29,8
2013-10-30,4
2013-10-31,8
2013-11-01,2
2013-11-02,3
2013-11-03,1
2013-11-04,5
2013-11-05,1
2013-11-07,5
2013-11-08,125
2013-11-09,13
2013-11-10,2
2013-11-11,4
2013-11-12,5
2013-11-13,10
2013-11-14,6
2013-11-15,3
2013-11-16,5
2013-11-17,3
2013-11-18,18
2013-11-19,56
2013-11-20,24
2013-11-23,5
2013-11-24,2
2013-11-25,4
2013-11-26,7
2013-11-27,4
2013-11-28,5
2013-11-29,1
2013-12-02,8
2013-12-03,9
2013-12-04,2
2013-12-05,1
2013-12-06,4
2013-12-07,4
2013-12-08,9
2013-12-09,6
2013-12-10,1
2013-12-11,4
2013-12-12,10
2013-12-13,8
2013-12-14,6
2013-12-15,7
2013-12-16,2
2013-12-17,23
2013-12-18,7
2013-12-19,4
2013-12-23,5
2013-12-24,10
2013-12-25,5
2013-12-26,2
2013-12-27,3
2014-01-03,1
2014-01-04,3
2014-01-05,35
2014-01-06,31
2014-01-07,8
2014-01-08,4
2014-01-10,4
2014-01-11,6
2014-01-12,4
2014-01-13,6
2014-01-14,2
2014-01-15,2
2014-01-16,2
2014-01-20,4
2014-01-21,14
2014-01-22,8
2014-01-23,8
2014-01-24,2
2014-01-28,8
2014-01-29,6
2014-01-30,12
2014-01-31,74
2014-02-01,154
2014-02-02,22
2014-02-03,8
2014-02-04,21
2014-02-05,24
2014-02-06,6
2014-02-07,18
2014-02-08,21
2014-02-11,6
2014-02-12,15
2014-02-13,15
2014-02-14,6
2014-02-15,9
2014-02-16,9
2014-02-19,3
2014-02-20,21
2014-02-21,741
2014-02-22,15
2014-02-23,12
2014-02-24,63
2014-03-03,78
2014-03-04,10
