Date,Count
2013-09-24,1
2013-09-28,3
2013-09-29,1
2013-09-30,9
2013-10-03,1
2013-10-04,1
2013-10-05,1
2013-10-07,4
2013-10-08,1
2013-10-09,2
2013-10-12,7
2013-10-13,3
2013-10-18,1
2013-10-19,2
2013-10-20,1
2013-10-21,1
2013-10-23,2
2013-10-24,4
2013-10-27,1
2013-10-28,1
2013-10-29,2
2013-11-01,1
2013-11-02,2
2013-11-03,1
2013-11-04,5
2013-11-06,1
2013-11-08,4
2013-11-09,1
2013-11-10,1
2013-11-11,1
2013-11-15,1
2013-11-16,9
2013-11-19,1
2013-11-20,4
2013-11-23,1
2013-11-24,2
2013-11-27,6
2013-11-30,1
2013-12-02,1
2013-12-04,1
2013-12-05,2
2013-12-07,1
2013-12-10,3
2013-12-12,3
2013-12-13,15
2013-12-15,6
2013-12-16,5
2013-12-17,2
2013-12-19,1
2013-12-24,16
2013-12-25,8
2013-12-26,5
2014-01-04,1
2014-01-07,1
2014-01-12,2
2014-01-13,14
2014-01-16,4
2014-01-22,2
2014-01-23,2
2014-01-29,58
2014-01-30,60
2014-01-31,2
2014-02-02,26
2014-02-03,6
2014-02-04,15
2014-02-06,18
2014-02-07,3
2014-02-08,9
2014-02-10,6
