Date,Count
2013-09-24,24
2013-09-25,185
2013-09-26,784
2013-09-27,42
2013-09-28,77
2013-09-29,44
2013-09-30,219
2013-10-01,65
2013-10-02,887
2013-10-03,217
2013-10-04,99
2013-10-05,68
2013-10-06,137
2013-10-07,102
2013-10-08,64
2013-10-09,52
2013-10-10,115
2013-10-11,85
2013-10-12,151
2013-10-13,109
2013-10-14,86
2013-10-15,1
2013-10-18,44
2013-10-19,181
2013-10-20,32
2013-10-21,50
2013-10-22,169
2013-10-23,308
2013-10-24,23
2013-10-25,77
2013-10-26,198
2013-10-27,170
2013-10-28,54
2013-10-29,77
2013-10-30,49
2013-10-31,70
2013-11-01,75
2013-11-02,54
2013-11-03,81
2013-11-04,135
2013-11-05,71
2013-11-06,195
2013-11-07,104
2013-11-08,261
2013-11-09,92
2013-11-10,78
2013-11-11,178
2013-11-12,58
2013-11-13,111
2013-11-14,83
2013-11-15,101
2013-11-16,188
2013-11-17,44
2013-11-18,127
2013-11-19,119
2013-11-20,648
2013-11-22,48
2013-11-23,335
2013-11-24,130
2013-11-25,450
2013-11-26,129
2013-11-27,103
2013-11-28,183
2013-11-29,43
2013-11-30,56
2013-12-01,24
2013-12-02,30
2013-12-03,23
2013-12-04,42
2013-12-05,52
2013-12-06,96
2013-12-07,49
2013-12-08,82
2013-12-09,175
2013-12-10,770
2013-12-11,395
2013-12-12,119
2013-12-13,127
2013-12-14,149
2013-12-15,86
2013-12-16,241
2013-12-17,104
2013-12-18,117
2013-12-19,95
2013-12-20,30
2013-12-22,1
2013-12-23,88
2013-12-24,77
2013-12-25,88
2013-12-26,241
2013-12-27,70
2014-01-03,55
2014-01-04,1252
2014-01-05,308
2014-01-06,136
2014-01-07,108
2014-01-08,506
2014-01-09,778
2014-01-10,482
2014-01-11,638
2014-01-12,678
2014-01-13,684
2014-01-14,666
2014-01-15,128
2014-01-16,178
2014-01-20,122
2014-01-21,402
2014-01-22,296
2014-01-23,384
2014-01-24,814
2014-01-25,106
2014-01-27,136
2014-01-28,194
2014-01-29,128
2014-01-30,286
2014-01-31,308
2014-02-01,350
2014-02-02,354
2014-02-03,259
2014-02-04,282
2014-02-05,3714
2014-02-06,74469
2014-02-07,1680
2014-02-08,1992
2014-02-10,399
2014-02-11,75
2014-02-12,201
2014-02-13,369
2014-02-14,963
2014-02-15,378
2014-02-16,282
2014-02-17,30
2014-02-19,120
2014-02-20,408
2014-02-21,663
2014-02-22,396
2014-02-23,459
2014-02-24,138
2014-03-03,94
2014-03-04,76
