Date,Count
2013-09-24,52
2013-09-25,123
2013-09-26,130
2013-09-27,63
2013-09-28,102
2013-09-29,142
2013-09-30,157
2013-10-01,115
2013-10-02,200
2013-10-03,34
2013-10-04,95
2013-10-05,107
2013-10-06,75
2013-10-07,76
2013-10-08,114
2013-10-09,79
2013-10-10,122
2013-10-11,171
2013-10-12,138
2013-10-13,98
2013-10-14,72
2013-10-15,3
2013-10-18,70
2013-10-19,63
2013-10-20,99
2013-10-21,93
2013-10-22,95
2013-10-23,126
2013-10-24,31
2013-10-25,85
2013-10-26,90
2013-10-27,74
2013-10-28,73
2013-10-29,74
2013-10-30,96
2013-10-31,100
2013-11-01,89
2013-11-02,99
2013-11-03,56
2013-11-04,102
2013-11-05,21
2013-11-06,106
2013-11-07,85
2013-11-08,90
2013-11-09,76
2013-11-10,76
2013-11-11,76
2013-11-12,69
2013-11-13,78
2013-11-14,176
2013-11-15,65
2013-11-16,86
2013-11-17,105
2013-11-18,131
2013-11-19,182
2013-11-20,136
2013-11-22,83
2013-11-23,153
2013-11-24,79
2013-11-25,91
2013-11-26,91
2013-11-27,77
2013-11-28,104
2013-11-29,66
2013-11-30,48
2013-12-01,67
2013-12-02,130
2013-12-03,68
2013-12-04,76
2013-12-05,65
2013-12-06,78
2013-12-07,84
2013-12-08,44
2013-12-09,78
2013-12-10,321
2013-12-11,70
2013-12-12,122
2013-12-13,78
2013-12-14,65
2013-12-15,82
2013-12-16,160
2013-12-17,96
2013-12-18,146
2013-12-19,206
2013-12-20,6
2013-12-22,6
2013-12-23,72
2013-12-24,130
2013-12-25,92
2013-12-26,71
2013-12-27,34
2014-01-03,93
2014-01-04,80
2014-01-05,469
2014-01-06,144
2014-01-07,100
2014-01-08,282
2014-01-09,256
2014-01-10,246
2014-01-11,230
2014-01-12,160
2014-01-13,538
2014-01-14,252
2014-01-15,408
2014-01-16,308
2014-01-20,238
2014-01-21,332
2014-01-22,650
2014-01-23,314
2014-01-24,250
2014-01-25,84
2014-01-27,156
2014-01-28,246
2014-01-29,246
2014-01-30,198
2014-01-31,288
2014-02-01,268
2014-02-02,206
2014-02-03,229
2014-02-04,276
2014-02-05,324
2014-02-06,435
2014-02-07,360
2014-02-08,231
2014-02-10,285
2014-02-11,366
2014-02-12,130
2014-02-13,276
2014-02-14,184
2014-02-15,128
2014-02-16,136
2014-02-17,41
2014-02-19,4
2014-02-20,116
2014-02-21,123
2014-02-22,98
2014-02-23,127
2014-02-24,55
