Date,Count
2013-09-24,61
2013-09-25,538
2013-09-26,401
2013-09-27,302
2013-09-28,310
2013-09-29,244
2013-09-30,1124
2013-10-01,195
2013-10-02,165
2013-10-03,72
2013-10-04,204
2013-10-05,448
2013-10-06,362
2013-10-07,205
2013-10-08,335
2013-10-09,499
2013-10-10,558
2013-10-11,516
2013-10-12,211
2013-10-13,450
2013-10-14,291
2013-10-15,1
2013-10-18,552
2013-10-19,2394
2013-10-20,1218
2013-10-21,460
2013-10-22,256
2013-10-23,884
2013-10-24,186
2013-10-25,295
2013-10-26,354
2013-10-27,1100
2013-10-28,490
2013-10-29,259
2013-10-30,355
2013-10-31,459
2013-11-01,653
2013-11-02,2005
2013-11-03,335
2013-11-04,280
2013-11-05,53
2013-11-06,158
2013-11-07,222
2013-11-08,221
2013-11-09,249
2013-11-10,844
2013-11-11,162
2013-11-12,214
2013-11-13,155
2013-11-14,1351
2013-11-15,344
2013-11-16,300
2013-11-17,180
2013-11-18,155
2013-11-19,296
2013-11-20,382
2013-11-22,41
2013-11-23,283
2013-11-24,233
2013-11-25,356
2013-11-26,148
2013-11-27,127
2013-11-28,135
2013-11-29,361
2013-11-30,1537
2013-12-01,777
2013-12-02,353
2013-12-03,327
2013-12-04,968
2013-12-05,666
2013-12-06,430
2013-12-07,2442
2013-12-08,409
2013-12-09,382
2013-12-10,227
2013-12-11,305
2013-12-12,173
2013-12-13,256
2013-12-14,368
2013-12-15,186
2013-12-16,193
2013-12-17,93
2013-12-18,166
2013-12-19,102
2013-12-20,3
2013-12-22,10
2013-12-23,139
2013-12-24,103
2013-12-25,50
2013-12-26,275
2013-12-27,146
2014-01-03,210
2014-01-04,783
2014-01-05,151
2014-01-06,158
2014-01-07,158
2014-01-08,234
2014-01-09,406
2014-01-10,430
2014-01-11,1696
2014-01-12,7020
2014-01-13,1920
2014-01-14,1006
2014-01-15,446
2014-01-16,362
2014-01-20,354
2014-01-21,292
2014-01-22,452
2014-01-23,798
2014-01-24,390
2014-01-25,28
2014-01-27,1328
2014-01-28,1560
2014-01-29,1892
2014-01-30,458
2014-01-31,3790
2014-02-01,7602
2014-02-02,1934
2014-02-03,1327
2014-02-04,795
2014-02-05,3927
2014-02-06,756
2014-02-07,1332
2014-02-08,744
2014-02-10,504
2014-02-11,198
2014-02-12,546
2014-02-13,464
2014-02-14,198
2014-02-15,198
2014-02-16,177
2014-02-17,48
2014-02-19,49
2014-02-20,143
2014-02-21,385
2014-02-22,431
2014-02-23,1814
2014-02-24,161
