KeyWord,Datetime,Count
Nigeria,2013-09-24,46
Nigeria,2013-09-25,133
Nigeria,2013-09-26,192
Nigeria,2013-09-27,212
Nigeria,2013-09-28,195
Nigeria,2013-09-29,353
Nigeria,2013-09-30,416
Nigeria,2013-10-01,429
Nigeria,2013-10-02,445
Nigeria,2013-10-03,284
Nigeria,2013-10-04,188
Nigeria,2013-10-05,113
Nigeria,2013-10-06,145
Nigeria,2013-10-07,200
Nigeria,2013-10-08,190
Nigeria,2013-10-09,160
Nigeria,2013-10-10,200
Nigeria,2013-10-11,276
Nigeria,2013-10-12,150
Nigeria,2013-10-13,425
Nigeria,2013-10-14,286
Nigeria,2013-10-15,1
Nigeria,2013-10-18,674
Nigeria,2013-10-19,483
Nigeria,2013-10-20,260
Nigeria,2013-10-21,206
Nigeria,2013-10-22,240
Nigeria,2013-10-23,163
Nigeria,2013-10-24,44
Nigeria,2013-10-25,135
Nigeria,2013-10-26,221
Nigeria,2013-10-27,166
Nigeria,2013-10-28,135
Nigeria,2013-10-29,192
Nigeria,2013-10-30,144
Nigeria,2013-10-31,370
Nigeria,2013-11-01,122
Nigeria,2013-11-02,183
Nigeria,2013-11-03,135
Nigeria,2013-11-04,320
Nigeria,2013-11-05,60
Nigeria,2013-11-06,210
Nigeria,2013-11-07,228
Nigeria,2013-11-08,902
Nigeria,2013-11-09,234
Nigeria,2013-11-10,90
Nigeria,2013-11-11,190
Nigeria,2013-11-12,164
Nigeria,2013-11-13,215
Nigeria,2013-11-14,178
Nigeria,2013-11-15,85
Nigeria,2013-11-16,776
Nigeria,2013-11-17,275
Nigeria,2013-11-18,506
Nigeria,2013-11-19,509
Nigeria,2013-11-20,348
Nigeria,2013-11-22,30
Nigeria,2013-11-23,141
Nigeria,2013-11-24,153
Nigeria,2013-11-25,158
Nigeria,2013-11-26,253
Nigeria,2013-11-27,105
Nigeria,2013-11-28,154
Nigeria,2013-11-29,185
Nigeria,2013-11-30,116
Nigeria,2013-12-01,76
Nigeria,2013-12-02,179
Nigeria,2013-12-03,307
Nigeria,2013-12-04,277
Nigeria,2013-12-05,221
Nigeria,2013-12-06,259
Nigeria,2013-12-07,137
Nigeria,2013-12-08,244
Nigeria,2013-12-09,143
Nigeria,2013-12-10,175
Nigeria,2013-12-11,188
Nigeria,2013-12-12,180
Nigeria,2013-12-13,224
Nigeria,2013-12-14,120
Nigeria,2013-12-15,142
Nigeria,2013-12-16,191
Nigeria,2013-12-17,134
Nigeria,2013-12-18,179
Nigeria,2013-12-19,103
Nigeria,2013-12-20,4
Nigeria,2013-12-22,15
Nigeria,2013-12-23,238
Nigeria,2013-12-24,152
Nigeria,2013-12-25,219
Nigeria,2013-12-26,231
Nigeria,2013-12-27,154
Nigeria,2014-01-03,90
Nigeria,2014-01-04,116
Nigeria,2014-01-05,151
Nigeria,2014-01-06,554
Nigeria,2014-01-07,725
Nigeria,2014-01-08,131
