Date,Count
2013-09-24,32
2013-09-25,69
2013-09-26,52
2013-09-27,50
2013-09-28,59
2013-09-29,46
2013-09-30,67
2013-10-01,19
2013-10-02,72
2013-10-03,49
2013-10-04,71
2013-10-05,36
2013-10-06,42
2013-10-07,73
2013-10-08,81
2013-10-09,57
2013-10-10,88
2013-10-11,52
2013-10-12,52
2013-10-13,49
2013-10-14,45
2013-10-15,1
2013-10-18,39
2013-10-19,70
2013-10-20,43
2013-10-21,68
2013-10-22,63
2013-10-23,42
2013-10-24,24
2013-10-25,68
2013-10-26,39
2013-10-27,36
2013-10-28,88
2013-10-29,44
2013-10-30,61
2013-10-31,40
2013-11-01,85
2013-11-02,58
2013-11-03,91
2013-11-04,75
2013-11-05,14
2013-11-06,57
2013-11-07,198
2013-11-08,92
2013-11-09,45
2013-11-10,32
2013-11-11,39
2013-11-12,39
2013-11-13,57
2013-11-14,59
2013-11-15,31
2013-11-16,66
2013-11-17,28
2013-11-18,50
2013-11-19,76
2013-11-20,162
2013-11-22,19
2013-11-23,62
2013-11-24,30
2013-11-25,54
2013-11-26,60
2013-11-27,42
2013-11-28,65
2013-11-29,86
2013-11-30,38
2013-12-01,20
2013-12-02,45
2013-12-03,46
2013-12-04,41
2013-12-05,66
2013-12-06,391
2013-12-07,117
2013-12-08,66
2013-12-09,73
2013-12-10,153
2013-12-11,56
2013-12-12,62
2013-12-13,58
2013-12-14,53
2013-12-15,32
2013-12-16,55
2013-12-17,30
2013-12-18,72
2013-12-19,72
2013-12-20,11
2013-12-23,50
2013-12-24,35
2013-12-25,31
2013-12-26,27
2013-12-27,18
2014-01-03,48
2014-01-04,33
2014-01-05,21
2014-01-06,402
2014-01-07,97
2014-01-08,341
2014-01-09,82
2014-01-10,126
2014-01-11,60
2014-01-12,98
2014-01-13,132
2014-01-14,388
2014-01-15,234
2014-01-16,158
2014-01-20,72
2014-01-21,374
2014-01-22,194
2014-01-23,150
2014-01-24,92
2014-01-25,14
2014-01-27,80
2014-01-28,130
2014-01-29,136
2014-01-30,94
2014-01-31,92
2014-02-01,90
2014-02-02,94
2014-02-03,125
2014-02-04,189
2014-02-05,75
2014-02-06,201
2014-02-07,1311
2014-02-08,165
2014-02-10,138
2014-02-11,27
2014-02-12,80
2014-02-13,240
2014-02-14,118
2014-02-15,108
2014-02-16,244
2014-02-17,80
2014-02-19,30
2014-02-20,172
2014-02-21,378
2014-02-22,138
2014-02-23,226
2014-02-24,66
2014-03-03,126
2014-03-04,224
