KeyWord,Datetime,Count
Pakistan,2013-09-24,331
Pakistan,2013-09-25,944
Pakistan,2013-09-26,500
Pakistan,2013-09-27,193
Pakistan,2013-09-28,344
Pakistan,2013-09-29,386
Pakistan,2013-09-30,307
Pakistan,2013-10-01,139
Pakistan,2013-10-02,389
Pakistan,2013-10-03,95
Pakistan,2013-10-04,261
Pakistan,2013-10-05,248
Pakistan,2013-10-06,227
Pakistan,2013-10-07,209
Pakistan,2013-10-08,294
Pakistan,2013-10-09,179
Pakistan,2013-10-10,264
Pakistan,2013-10-11,217
Pakistan,2013-10-12,221
Pakistan,2013-10-13,276
Pakistan,2013-10-14,208
Pakistan,2013-10-15,1
Pakistan,2013-10-18,135
Pakistan,2013-10-19,139
Pakistan,2013-10-20,205
Pakistan,2013-10-21,247
Pakistan,2013-10-22,294
Pakistan,2013-10-23,328
Pakistan,2013-10-24,57
Pakistan,2013-10-25,237
Pakistan,2013-10-26,170
Pakistan,2013-10-27,167
Pakistan,2013-10-28,164
Pakistan,2013-10-29,433
Pakistan,2013-10-30,394
Pakistan,2013-10-31,239
Pakistan,2013-11-01,233
Pakistan,2013-11-02,261
Pakistan,2013-11-03,183
Pakistan,2013-11-04,188
Pakistan,2013-11-05,89
Pakistan,2013-11-06,253
Pakistan,2013-11-07,319
Pakistan,2013-11-08,376
Pakistan,2013-11-09,218
Pakistan,2013-11-10,287
Pakistan,2013-11-11,355
Pakistan,2013-11-12,335
Pakistan,2013-11-13,386
Pakistan,2013-11-14,288
Pakistan,2013-11-15,110
Pakistan,2013-11-16,199
Pakistan,2013-11-17,210
Pakistan,2013-11-18,246
Pakistan,2013-11-19,434
Pakistan,2013-11-20,460
Pakistan,2013-11-22,83
Pakistan,2013-11-23,413
Pakistan,2013-11-24,194
Pakistan,2013-11-25,215
Pakistan,2013-11-26,380
Pakistan,2013-11-27,217
Pakistan,2013-11-28,230
Pakistan,2013-11-29,307
Pakistan,2013-11-30,219
Pakistan,2013-12-01,150
Pakistan,2013-12-02,423
Pakistan,2013-12-03,199
Pakistan,2013-12-04,194
Pakistan,2013-12-05,185
Pakistan,2013-12-06,200
Pakistan,2013-12-07,288
Pakistan,2013-12-08,168
Pakistan,2013-12-09,227
Pakistan,2013-12-10,232
Pakistan,2013-12-11,220
Pakistan,2013-12-12,303
Pakistan,2013-12-13,239
Pakistan,2013-12-14,201
Pakistan,2013-12-15,157
Pakistan,2013-12-16,332
Pakistan,2013-12-17,256
Pakistan,2013-12-18,277
Pakistan,2013-12-19,234
Pakistan,2013-12-20,4
Pakistan,2013-12-22,11
Pakistan,2013-12-23,253
Pakistan,2013-12-24,273
Pakistan,2013-12-25,350
Pakistan,2013-12-26,278
Pakistan,2013-12-27,149
Pakistan,2014-01-03,230
Pakistan,2014-01-04,271
Pakistan,2014-01-05,217
Pakistan,2014-01-06,190
Pakistan,2014-01-07,181
Pakistan,2014-01-08,145
