Date,Count
2013-09-24,3
2013-09-25,34
2013-09-26,99
2013-09-27,35
2013-09-28,72
2013-09-29,42
2013-09-30,45
2013-10-01,12
2013-10-02,43
2013-10-03,9
2013-10-04,40
2013-10-05,44
2013-10-06,25
2013-10-07,46
2013-10-08,55
2013-10-09,33
2013-10-10,68
2013-10-11,168
2013-10-12,161
2013-10-13,110
2013-10-14,60
2013-10-15,2
2013-10-18,46
2013-10-19,81
2013-10-20,131
2013-10-21,288
2013-10-22,234
2013-10-23,325
2013-10-24,183
2013-10-25,2788
2013-10-26,1760
2013-10-27,209
2013-10-28,58
2013-10-29,71
2013-10-30,36
2013-10-31,26
2013-11-01,36
2013-11-02,32
2013-11-03,23
2013-11-04,23
2013-11-05,9
2013-11-06,18
2013-11-07,31
2013-11-08,14
2013-11-09,18
2013-11-10,22
2013-11-11,51
2013-11-12,31
2013-11-13,23
2013-11-14,45
2013-11-15,22
2013-11-16,20
2013-11-17,23
2013-11-18,24
2013-11-19,86
2013-11-20,92
2013-11-22,8
2013-11-23,30
2013-11-24,21
2013-11-25,20
2013-11-26,54
2013-11-27,13
2013-11-28,20
2013-11-29,21
2013-11-30,23
2013-12-01,13
2013-12-02,13
2013-12-03,18
2013-12-04,23
2013-12-05,17
2013-12-06,33
2013-12-07,18
2013-12-08,55
2013-12-09,18
2013-12-10,18
2013-12-11,28
2013-12-12,79
2013-12-13,43
2013-12-14,30
2013-12-15,15
2013-12-16,25
2013-12-17,36
2013-12-18,23
2013-12-19,11
2013-12-20,1
2013-12-22,1
2013-12-23,14
2013-12-24,9
2013-12-25,13
2013-12-26,15
2013-12-27,5
2014-01-03,19
2014-01-04,31
2014-01-05,5
2014-01-06,63
2014-01-07,54
2014-01-08,54
2014-01-09,126
2014-01-10,60
2014-01-11,516
2014-01-12,136
2014-01-13,190
2014-01-14,100
2014-01-15,76
2014-01-16,82
2014-01-20,50
2014-01-21,58
2014-01-22,82
2014-01-23,116
2014-01-24,154
2014-01-25,34
2014-01-27,4932
2014-01-28,9836
2014-01-29,2224
2014-01-30,146
2014-01-31,202
2014-02-01,272
2014-02-02,52
2014-02-03,99
2014-02-04,486
2014-02-05,405
2014-02-06,645
2014-02-07,876
2014-02-08,171
2014-02-10,708
2014-02-11,282
