Date,Count
2013-09-24,3
2013-09-25,11
2013-09-26,9
2013-09-27,3
2013-09-28,5
2013-09-29,15
2013-09-30,14
2013-10-01,1
2013-10-02,12
2013-10-03,2
2013-10-04,13
2013-10-05,9
2013-10-06,2
2013-10-07,8
2013-10-08,12
2013-10-09,2
2013-10-10,2
2013-10-11,6
2013-10-12,8
2013-10-13,5
2013-10-14,6
2013-10-18,6
2013-10-19,6
2013-10-20,1
2013-10-21,3
2013-10-22,12
2013-10-23,6
2013-10-24,2
2013-10-25,13
2013-10-26,11
2013-10-27,6
2013-10-28,4
2013-10-29,6
2013-10-30,6
2013-10-31,21
2013-11-01,9
2013-11-02,11
2013-11-03,6
2013-11-04,7
2013-11-06,5
2013-11-07,18
2013-11-08,19
2013-11-09,16
2013-11-10,9
2013-11-11,11
2013-11-12,12
2013-11-13,13
2013-11-14,13
2013-11-15,11
2013-11-16,9
2013-11-17,332
2013-11-18,54
2013-11-19,50
2013-11-20,30
2013-11-22,8
2013-11-23,3
2013-11-24,16
2013-11-25,4
2013-11-26,14
2013-11-27,8
2013-11-28,7
2013-11-29,6
2013-11-30,12
2013-12-01,6
2013-12-02,3
2013-12-03,11
2013-12-04,10
2013-12-05,9
2013-12-06,7
2013-12-07,5
2013-12-08,9
2013-12-09,17
2013-12-10,2
2013-12-11,6
2013-12-12,10
2013-12-13,5
2013-12-14,12
2013-12-15,5
2013-12-16,3
2013-12-17,3
2013-12-18,4
2013-12-19,8
2013-12-20,1
2013-12-23,6
2013-12-25,9
2013-12-26,3
2013-12-27,3
2014-01-03,4
2014-01-04,3
2014-01-05,5
2014-01-06,5
2014-01-07,9
2014-01-08,8
2014-01-09,10
2014-01-10,30
2014-01-11,16
2014-01-12,8
2014-01-13,12
2014-01-14,14
2014-01-15,32
2014-01-16,44
2014-01-20,6
2014-01-21,28
2014-01-22,10
2014-01-23,16
2014-01-24,10
2014-01-27,22
2014-01-28,16
2014-01-29,20
2014-01-30,12
2014-01-31,20
2014-02-01,32
2014-02-02,8
2014-02-03,12
2014-02-04,33
2014-02-05,6
2014-02-06,18
2014-02-07,21
2014-02-08,21
2014-02-10,12
2014-02-12,18
2014-02-13,14
2014-02-14,28
2014-02-15,10
2014-02-16,10
2014-02-20,18
2014-02-21,18
2014-02-22,34
2014-02-23,8
2014-02-24,4
2014-03-03,6
2014-03-04,4
