KeyWord,Datetime,Count
Perugia,2013-09-26,1
Perugia,2013-09-28,2
Perugia,2013-09-30,2
Perugia,2013-10-03,1
Perugia,2013-10-04,1
Perugia,2013-10-06,1
Perugia,2013-10-09,2
Perugia,2013-10-12,1
Perugia,2013-10-13,2
Perugia,2013-10-14,8
Perugia,2013-10-18,2
Perugia,2013-10-19,1
Perugia,2013-10-20,3
Perugia,2013-10-21,1
Perugia,2013-10-22,2
Perugia,2013-10-23,1
Perugia,2013-10-29,1
Perugia,2013-10-30,1
Perugia,2013-11-05,1
Perugia,2013-11-06,1
Perugia,2013-11-07,31
Perugia,2013-11-08,5
Perugia,2013-11-16,1
Perugia,2013-11-17,3
Perugia,2013-11-19,2
Perugia,2013-11-26,1
Perugia,2013-11-27,1
Perugia,2013-11-30,6
Perugia,2013-12-04,1
Perugia,2013-12-05,5
Perugia,2013-12-07,1
Perugia,2013-12-10,3
Perugia,2013-12-11,3
Perugia,2013-12-12,1
Perugia,2013-12-15,1
Perugia,2013-12-17,1
Perugia,2013-12-24,1
Perugia,2014-01-04,1
Perugia,2014-01-05,18
Perugia,2014-01-06,6
