Date,Count
2013-09-27,1
2013-09-28,3
2013-09-30,1
2013-10-02,2
2013-10-04,3
2013-10-05,4
2013-10-06,4
2013-10-08,2
2013-10-09,1
2013-10-11,1
2013-10-12,1
2013-10-18,2
2013-10-19,3
2013-10-20,2
2013-10-21,1
2013-10-22,1
2013-10-23,1
2013-10-24,1
2013-10-25,2
2013-10-26,4
2013-10-28,1
2013-10-29,1
2013-10-31,2
2013-11-01,1
2013-11-02,6
2013-11-03,4
2013-11-05,1
2013-11-06,2
2013-11-07,1
2013-11-08,1
2013-11-09,8
2013-11-10,2
2013-11-11,2
2013-11-19,2
2013-11-20,2
2013-11-22,1
2013-11-23,3
2013-11-25,3
2013-11-28,3
2013-11-30,1
2013-12-01,1
2013-12-02,1
2013-12-07,10
2013-12-09,2
2013-12-10,1
2013-12-12,1
2013-12-15,1
2013-12-17,2
2013-12-24,1
2013-12-26,1
2014-01-03,1
2014-01-04,2
2014-01-05,1
2014-01-06,1
2014-01-07,1
2014-01-08,1
2014-01-11,4
2014-01-14,4
2014-01-15,2
2014-01-20,2
2014-01-24,2
2014-01-27,2
2014-01-28,2
2014-01-29,6
2014-02-02,2
2014-02-03,3
2014-02-05,1
2014-02-06,1
2014-02-07,6
